location_name,latitude,longitude
pond 1,52.21314778,-106.0896039
pond 2,52.21493495,-106.0878765
pond 3,52.21462664,-106.0901085
pond 4,52.21084538,-106.0896793
pond 5,52.21006637,-106.0903042
pond 6,52.20972594,-106.0911447
pond 7,52.21024102,-106.0908646
pond 8,52.21072526,-106.0919742
pond 9,52.2111468,-106.092087
pond 10,52.21089881,-106.0926517
pond 11,52.21266869,-106.0927976
pond 12,52.2132672,-106.0941882
pond 13,52.21431457,-106.0946823
pond 14,52.21577703,-106.0940449
pond 15,52.2152117,-106.0948946
pond 16,52.21534056,-106.0955418
pond 17,52.21461712,-106.0979246
pond 18,52.21211352,-106.0954624
pond 19,52.21112884,-106.0969311
pond 20,52.21192873,-106.0988975
pond 24,52.209994,-106.1019671
pond 25,52.21170936,-106.1031366
pond 26,52.21110077,-106.1009115
pond 27,52.21270758,-106.1021514
pond 28,52.21284451,-106.1000032
pond 29,52.21467996,-106.1027564
pond 30,52.21635931,-106.1010415
pond 31,52.21633895,-106.103222
pond 32,52.21643408,-106.1045857
pond 33,52.21602486,-106.1060393
pond 35,52.21144626,-106.1053109
pond 36,52.20972981,-106.1100102
pond 37,52.20870938,-106.1104824
pond 38,52.2074522,-106.1112706
pond 39,52.20885783,-106.1090372
pond 40,52.2081965,-106.1086109
pond 41,52.20876665,-106.1082153
pond 42,52.20918633,-106.1075672
pond 45,52.20941874,-106.1067534
pond 46,52.20867833,-106.1022858
pond 48,52.20777219,-106.1030391
pond 49,52.20581939,-106.1032249
pond 50,52.20554271,-106.1068473
pond 55,52.20386222,-106.1096299
pond 56,52.20338457,-106.1097497
pond 57,52.20248654,-106.1105907
pond 58,52.20332765,-106.1081532
pond 60,52.20326519,-106.1023421
pond 61,52.20262156,-106.1009799
pond 62,52.20234484,-106.0978708
pond 63,52.20288785,-106.0974891
pond 65,52.20543024,-106.0986786
pond 66,52.20555755,-106.0956232
pond 67,52.20920057,-106.0973812
pond 68,52.20255164,-106.0939981
pond 69,52.20852711,-106.0934131
pond 70,52.20853005,-106.0921253
pond 71,52.20759316,-106.0923218
pond 73,52.20695888,-106.0957601
pond 74,52.20784087,-106.0946988
pond 75,52.20512652,-106.0926565
pond 76,52.20411165,-106.0944754
pond 78,52.20231236,-106.0945922
pond 79,52.20335609,-106.0925691
pond 80,52.20407631,-106.0905234
pond 81,52.20325525,-106.0879132
pond 84,52.20526796,-106.0851233
pond 85,52.20359759,-106.0858875
pond 87,52.20250981,-106.0848952
pond 88,52.20235526,-106.0841012
pond 89,52.20245856,-106.0796991
pond 90,52.20469416,-106.080046
pond 92,52.20689826,-106.0769529
pond 94,52.20931974,-106.0756504
pond 95,52.20944763,-106.0764145
pond 96,52.20995988,-106.0764415
pond 97,52.20970395,-106.0778843
pond 98,52.20855619,-106.0785297
pond 99,52.20832346,-106.0813633
pond 100,52.20922021,-106.0806387
pond 101,52.20934124,-106.0811685
pond 103,52.20938979,-106.0837163
pond 105,52.20745287,-106.0831569
pond 106,52.20704415,-106.0855617
pond 107,52.20754791,-106.0865106
pond 109,52.20884182,-106.0856202
pond 110,52.20812182,-106.0876515
pond 111,52.20765731,-106.0882988
pond 113,52.20942253,-106.087976
pond 117,52.21066956,-106.0853427
pond 118,52.20982528,-106.0842684
pond 119,52.20996885,-106.0833206
pond 120,52.21090385,-106.0823481
pond 122,52.20990258,-106.0807431
pond 124,52.21155159,-106.080344
pond 125,52.21285957,-106.0808587
pond 127,52.21256289,-106.0788902
pond 128,52.21144141,-106.0786289
pond 129,52.15883821,-108.7069681
pond 130,52.21208885,-106.0776346
pond 131,52.2130327,-106.0776575
pond 132,52.21421979,-106.0776277
pond 133,52.21537626,-106.0770116
pond 135,52.21491561,-106.0792107
pond 136,52.21535501,-106.0793385
pond 137,52.21622187,-106.0828579
pond 139,52.21451824,-106.0833288
pond 140,52.21300188,-106.0849458
pond 16A,52.21636954,-106.0960795
pond 20A,52.2121544,-106.0997666
pond 24A,52.21052299,-106.1021266
pond 26A,52.21202879,-106.1016662
