band_num,date_resighted,original_location_description,general_location,exact_location,status,comments
1237-28506,1982-06-01,p125,NWA,pond 125,with mate ,"Ignored data: when first banded, mark, capture method, species, capture location"
1237-28514,1983-05-24,p26A,NWA,pond 26,with mate ,Pond #26A
1237-28515,1983-10-12,#1,NWA,unknown,feeding with large group,"Does not specify if pond or nest, I would assume pond"
1237-28515,1983-10-18,#1,NWA,unknown,feeding with 5 females and 2 males,"""bird removed weed that was caught on nasal tag"""
1237-28515,1984-05-18,#27,NWA,unknown,with male,"""only left side visible and seen as either a blue disc or square-not a positive identification"""
1237-28515,1984-06-14,#27,NWA,unknown,with male,"""male has wide white neck band"""
1237-28515,1986-09-10,p67,NWA,pond 67,with 3 males,"""100% identification"""
1237-28515,1986-09-19,p67,NWA,pond 67,with 1 female (NT) and 22 males,
1237-28515,1988-04-14,"p24,p27",NWA,pond 27,paired,"""male not banded"""
1237-28515,1988-05-06,p26,NWA,pond 26,alone,"""likely on recess"""
1237-28515,1988-05-25,p26 N,NWA,pond 26,paired,"""caught by Joey"""
1237-28516,1986-04-12,"p49,p62",NWA,unknown,with mate ,"""Not a 100% but 90% certain"", was written as pond4962"
1237-28519,1983-06-02,NE of #29,NWA,unknown,with mate,I would assume they mean p29
1237-28519,1983-09-20,#1,NWA,unknown,alone,I would assume they mean p1
1237-28520,1982-06-08,p125 S ,NWA,pond 125,with mate ,"""no brood observed although nest showed evidence of unsuccessful hatch"""
1237-28526,1983-07-04,p97,NWA,pond 97,"""with brood of 4 (Ia) as min ASY female"" ASY= after second year",
1357-20101,1984-05-05,p1,NWA,pond 1,with mate ,"""male has no band on left leg"""
1357-20101,1984-05-06,p1,NWA,pond 1,with mate,"""male has no band on left leg"""
1357-20116,1984-04-30,p50,NWA,pond 50,with mate ,"""yellow disc-yellow disc chased by male that is paired with red tri-yellow - yellow tri...yellow disc-yellow disc pair flew around slough, landed in middle, swam back to NE corner...an unmarked pair chased yellow disc-yellow disc when in pond middle"""
1357-20116,1984-05-06,p50,NWA,pond 50,with mate ,"""flushed from stubble E of #50"""
1357-20116,1985-04-22,3rd pond S of xroads,NWA,unknown,with male ,I assume they mean cross-roads
1357-20118,1983-05-12,pond S of xroads,NWA,unknown,with mate ,"""FOUND DEAD 2 June 1983 S.E. corner of island on pond #1"""
1357-20122,1984-08-08,p125,NWA,pond 125,with 4 yng (Ie),"""3 yng caught by dogs and released unmarked"""
1357-20122,1984-08-22,p125,NWA,pond 125,with 4 yng (IIa),"""4 yng (1 female and 3 males) caught by dogs and released unmarked and untagged"""
1357-20139,1986-06-07,n8,NWA,unknown,DEAD,"""head ripped off, breast plucked, head cleaned off; eggs ok-nasal tags removed and to be reused"""
1357-20143,1984-04-13,p46,NWA,pond 46,with male ,"""male w/o leg band-female with leg band"""
1357-20143,1984-04-15,p26,NWA,pond 26,with 3 males ,"""possible mate exchange- after female swan off with unmarked male, leg banded male flew over and lot male swam away-2nd unmarked male also joined- leg banded male drove him off- then all 3 began to interact- mild chaos, threats. 2 grunt-whistled, flight displays- a pair swarm by and lot unmarked male swam to them- he and paired drake raised bills and quacked- then lot male swam off- paired male stayed with female- males raised crest when female present- leg banded male who was threatened by female- male pecked at her but stayed near her-both sitting on veg at end of observ."
1357-20143,1984-05-11,p26,NWA,pond 26,with male ,"""loafing in floating veg. in NE corner of slough"""
1357-20169,1984-04-15,p1,NWA,pond 1,with mate,"""male has no leg band"""
1237-46495,1984-04-26,p26,NWA,pond 26,with male ,"""male has band on right leg"""
1237-46495,1984-05-01,p79 W,NWA,pond 79,with male ,"""male has band on right leg"""
1237-46495,1984-05-04,p79 W,NWA,pond 79,with male ,"""male has band on right leg"""
1237-46495,1984-05-04,p79 W,NWA,pond 79,with leg banded male,"""flew to pond #65"""
1237-46495,1984-05-10,p65,NWA,pond 65,alone,"""this bird was probably flushed by another observer- she landed in the middle of #65 where yellow disc- yellow disc and her male were along the East shore- male with yellow disc-yellow disc swam toward this bird- she flushed and was followed by the male for a short distance- he circled back and landed beside his female- this female flew South-West- did not see where or if she landed"""
1237-46495,1984-05-14,p65,NWA,pond 65,with male ,"""male charge 2 males, chased them in flight, retuned to female"""
1167-44221,1984-04-30,#50,NWA,unknown,with mate ,"""male with red tri-yellow tri chased marked female mall (yellow disc-yellow disc) - red tri-yellow tri quacked incessantly after male chased after marked female"" "
1167-44221,1984-05-11,p50,NWA,pond 50,with male,"""male sitting in open water a few feet from female who is loafing just inside edge vegetation-male frequently head pumping- male swam toward lone male who left general area - male returned to area near marked female"""
1167-44293,1984-04-11,N end of pond #25,NWA,pond 25,sitting alone on pond... joined by 2 males when flushed ,
1167-44295,1984-06-19,Nest #54 S of 40,NWA,unknown,in nest with 9 eggs ,"""fitted with transmitter (531) nest abandoned "
1167-44295,1984-06-20,p25,NWA,pond 25,alone,flushed from NW corner of slough by observers 
1167-44295,1984-06-26,slough off SE corner of area ,NWA,unknown,alone,bird flushed by observers 
1337-44658,1985-05-16,p79 E,NWA,pond 79,with male ,"""shot: 24 November 1985, Pommdeterre Lake, Missouri w/ male 1337-44867"""
1337-44700,1984-06-26,p65,NWA,pond 65,with 7 yng (IIc),"""32 days after hatch"""
1337-44700,1984-07-11,p65,NWA,pond 65,5 yng caught in drive trap (2 females and 3 males),"""47 days after hatch"""
1337-44700,1984-08-01,p50,NWA,pond 50,loafing on mudfloat with 6 males and 10 hens or juv (all unmarked),
1337-44700,1984-08-02,p50,NWA,pond 50,with orange y-white y and blue y-orange y,
1337-44733,1984-06-05,n21 NW hayfield,NWA,unknown,flushed from nest ,"""transmitter apparently dead- no signal radio still on bird"""
1337-44733,1985-06-11,n50 (10 eggs),NWA,unknown,trapped on nest ,"""nest apparently hatched when visited June 19"",""no young web tagged"""
1337-44733,1985-07-08,p50,NWA,pond 50,alone,"""acting broody, feigning"""
1337-44734,1984-06-05,hayfield W of 79,NWA,unknown,? alone,"""flushed from hayfield"""
1337-44746,1984-07-03,p125,NWA,pond 125,8 young (IIa),"""female flushed by observers- at lease one foot is tangled in back loop of radio"", ""20 days after hatch"""
1337-44746,1984-07-26,p125,NWA,pond 125,alone,"""observed bird feeding- radio still hanging from neck"""
1337-44746,1985-06-20,6847,NWA,unknown,with brood of 10 young (class Ib),
1337-44751,1984-07-09,slough 1km N of house ,NWA,unknown,alone,"""bird flushed by observer"""
1337-44761,1984-09-14,p65,NWA,pond 65,(w/ 1 unmarked female),
1337-44763,1984-08-01,p1,NWA,pond 1,alone,loafing in shore veg.
1337-44763,1986-06-06,"midpoint of North fence, East block",NWA,unknown,DEAD,caught in fence and scavanged. nasal tags intact
1337-44765,1984-08-08,p125,NWA,pond 125,"with three males and 3 females (all marked) (blue y-white y, white y- blue y, blue y-blue y) banded on pd#6753 banded on pd #6753 banded on pd #6753","When they list the markings, I think that the ponds they were banded on are presented respectively "
1337-44765,1985-09-11,pond #3670,NWA,unknown,with 2 females mallard (NT) and 2 male mallards (no pairs),
1337-44805,1984-08-23,p1,NWA,pond 1,with 1 yng (IIa),"""RELEASED ON POND #1"""
1357-20133,1985-07-11,p90,NWA,pond 90,alone,"""acting broody"""
1357-20133,1986-05-14,n4,NWA,unknown,Nesting,"""trapped on nest near pipping (13 eggs)"""
1337-44566,1986-04-11,p6751,NWA,unknown,paired ,w/mate
1337-44566,1986-04-17,p6751,NWA,unknown,paired ,w/mate
1337-44568,1986-05-29,p15 dugout (not far from 85 nest site),NWA,pond 15,w/8 class I ducklings (100% ID),NEST NOT FOUND IN 1986
1337-44568,1987-07-03,n93,NWA,unknown,trapped on nest ,successful- 9 ducklings web tagged
1337-44571,1985-07-08,p65,NWA,pond 65,alone,"""-on land"", ""shot 5 miles East of Clarksdale Miss. 8 Jan '86"""
1337-44573,1985-07-11,p120,NWA,pond 120,witht 3 young,"""(about 17 days old)"""
1337-44573,1986-04-09,p125,NWA,pond 125,paired ,":w/ another pair (NT) standing on ice"", I think NT means not tagged"
1337-44573,1987-06-10,p71,NWA,pond 71,alone,feeding at S side of 71
1337-44951,1987-07-09,p67,NWA,pond 67,alone,"""acting brood and presistent quacking"""
1337-44951,1987-07-11,15:45 p67,NWA,pond 67,alone,"""as above"""
1337-44951,1987-07-11,18:00 p67,NWA,pond 67,female brought to Mark by lab (dog). Released in good condition female was roughly in shrub on West slope of pond 67,this status and comment overlap
1337-44951,1987-07-20,p67,NWA,pond 67,female w/ 2 Ic +/- ducklings,
1337-44956,1986-06-03,n12,NWA,unknown,"Nest hatched, web tagged 8 ducklings. This female was web tagged (A0207) at nest #32 on 4 June 1985",comments and status overlap on page 
1337-44956,1987-04-16,1 W,NWA,unknown,paired ,"""has been seen (presumably the same female) several times (54) on pond 125N"" , not sure about the writing of the ""54"""
1337-44956,1987-04-20,125N,NWA,unknown,paired ,"""has been seen (presumably the same female) several times (54) on pond 125N"" "
1337-44957,1986-06-03,n67,NWA,unknown,pipping,"""hatched when visited by RGC/JBI on 4 June"""
1337-44980,1987-07-01,Nest #101 (abandoned),NWA,unknown,nesting,"""Nesting South of bluff 129 on hill top in hayfield. Clutch size was 7 when found and is now 3. Hatch date of 3 July +/-. Weight 860;wing chord 278mm, yellow band too tight and was removed"
1337-44993,1987-05-16,n4,NWA,unknown,nesting,"""accidentally killed by halothane overdose"" ""DEAD"", the drug name was hard to read"
1337-44996,1986-06-21,n66,NWA,unknown,continuing pipping,"""nest hatched when checked by GWB on 23 June/86"""
1337-44996,1988-06-02,pd 1255,NWA,unknown,paired ,"MLG sometimes just written as ""MG"""
1337-44999,1986-06-25,n124,NWA,unknown,pipping,"""hatched when visited by GWB and AMT on 26 June"""
1447-40101,1986-07-12,n146,NWA,unknown,pipping,"""nest hatched when visited by RGC on 14 July"""
1447-40103,1987-04-23,p67,NWA,pond 67,likely paired ,"""male caught in decoy trap- (banded and colour banded) female stayed near trap and gave persistent quacking- could be her mate"""
1447-40104,1986-07-18,n158,NWA,unknown,hatched ,"""web tagged 5 (of 7) ducklings"""
1447-40107,1987-05-16,field west of 125n,NWA,unknown,w/male,"""feeding in seeded spring wheat field male is banded right, but no colour band"""
1447-40107,1988-04-22,pond ,NWA,unknown,w/male,does not include pond number 
1447-40107,1988-04-23,pond 1 W,NWA,pond 1,w/male,"""male not banded"""
1447-40107,1988-04-27,pd 125n,NWA,pond 125,paired,"""yellow CB"""
1447-40107,1988-04-28,pd 125n,NWA,pond 125,paired,"""yellow CB"""
1447-40129,1987-04-15,pond 1 E,NWA,pond 1,paired,"""(no red CB seen)"""
1447-40129,1988-04-27,p70,NWA,pond 70,paired,"""no CB"""
1447-40129,1988-04-28,p70,NWA,pond 70,paired,"""no CB"""
1447-40129,1988-06-25,pd 1,NWA,pond 1,nesting,"""at nest SW island"""
1447-40148,1987-06-17,n72,NWA,unknown,nest hatched,"""7 ducklings tagged: CWS 2344 to CWS 2349 inclusive and CWS 2351"""
1447-40160,1987-07-09,n112,NWA,unknown,renesting,"""Captured at renest. 9 eggs (wt:88g; wing 284mm)"", ""Eggs destroyed when near pipping. Female was unsuccessful twice in 1987"""
1447-40192,1988-06-09,pd 125 N,NWA,pond 125,GCG,"""red collar band"""
1447-40203,1988-04-25,pd 98,NWA,pond 98,w/male,red CB
1447-40241,1988-05-05,p70,NWA,pond 70,paired ,"""male banded + white C1B, female band on right"""
1447-40120,1989-05-25,pd20,NWA,pond 20,paired,"""white CB"""
1447-40120,1991-06-07,n24,NWA,unknown,on nest,"""captured- 5 yr old"""
1447-40120,1994-07-21,E of pd 66,NWA,pond 66,on nest,"""Note: new nasal markers are Br. O/Br.y"", I think they mean brown circle-brown y"
1447-40120,1995-04-21,pd67,NWA,pond 67,PR,"""@1847"""
1447-40120,1995-04-23,pd67,NWA,pond 67,PR,"""@1630"""
1447-40120,1995-05-04,pd67,NWA,pond 67,PR,"""@0815"""
1447-40120,1995-05-11,pd67,NWA,pond 67,PR,"""@0920"""
1447-40120,1995-07-07,pd79E,NWA,pond 79,PR,"""@1255"""
1447-40120,1995-07-12,NE pd66/pd67,NWA,pond 67,on nest #303,"""@1140 hrs flushed from nest to pd 67 where female was identified"""
1447-40211,1988-04-28,pd25,NWA,pond 25,decoy trapped,"""nasal tagged, captive-reared in 1987"""
1447-40257,1989-06-01,pd50,NWA,pond 50,paired,"""leg band on right"""
1447-40257,1990-04-16,pd25,NWA,pond 25,paired ,"""pair and 1 spare, SE side pd25"""
1447-40278,1990-05-21,E of pd50 (in stubble),NWA,pond 50,pair,"""hen no CB (male-black CB)"""
1447-40174,1988-06-22,n50 S of pd 20,NWA,pond 20,eggs pipped,"""abandoned 22-June/88"""
1447-40174,1990-05-21,pd20,NWA,pond 20,in decoy trap-no nasal tags-new set put on female,"""see 2 pages forward"""
1447-40174,1987-05-19,n26 (9 egg clutch),NWA,unknown,"nesting female was banded only, mass 980g wing 278mm","""female abandoned w/+/- 27 days incub. Eggs were hatched artificially young were raised and released. Two females were observed/captured and/or nested in later years. E.G. yellow triangle-white y"""
1447-40174,1988-06-21,n50 (started with 8 egg clutch),NWA,unknown,nesting,"""female abandoned w/ pipping eggs, mass 960g wing 283mm"""
1447-40332,1990-06-06,nest 070,NWA,unknown,dead (within 2 days),"""wing 261, head and bill 109.4, 8 eggs""; ""nasal tags removed web tag # A0275 white CB"""
