"","band_num","date","SPECIES","COORDINATES"
"1","795-69001",1983-06-02,"BWTE","52.08333 -106.08333"
"2","795-69019",1983-07-12,"BWTE","52.08333 -106.08333"
"3","795-69012",1983-07-14,"BWTE","52.08333 -106.08333"
"4","795-69013",1983-07-15,"BWTE","52.08333 -106.08333"
"5","795-69016",1983-07-19,"BWTE","52.08333 -106.08333"
"6","795-69017",1983-07-20,"BWTE","52.08333 -106.08333"
"7","795-69018",1983-07-20,"BWTE","52.08333 -106.08333"
"8","795-69020",1983-07-20,"BWTE","52.08333 -106.08333"
"9","795-69021",1983-07-20,"BWTE","52.08333 -106.08333"
"10","795-69026",1983-08-05,"BWTE","52.08333 -106.08333"
"11","795-69028",1983-08-05,"BWTE","52.08333 -106.08333"
"12","795-69032",1983-08-05,"BWTE","52.08333 -106.08333"
"13","795-69034",1983-08-05,"BWTE","52.08333 -106.08333"
"14","795-69038",1983-08-05,"BWTE","52.08333 -106.08333"
"15","795-69039",1983-08-05,"BWTE","52.08333 -106.08333"
"16","795-69040",1983-08-05,"BWTE","52.08333 -106.08333"
"17","795-69042",1983-08-05,"BWTE","52.08333 -106.08333"
"18","795-69044",1983-08-05,"BWTE","52.08333 -106.08333"
"19","795-69045",1983-08-05,"BWTE","52.08333 -106.08333"
"20","795-69046",1983-08-05,"BWTE","52.08333 -106.08333"
"21","795-69047",1983-08-05,"BWTE","52.08333 -106.08333"
"22","795-69048",1983-08-05,"BWTE","52.08333 -106.08333"
"23","795-69049",1983-08-05,"BWTE","52.08333 -106.08333"
"24","795-69050",1983-08-05,"BWTE","52.08333 -106.08333"
"25","795-69051",1983-08-05,"BWTE","52.08333 -106.08333"
"26","795-69053",1983-08-10,"BWTE","52.08333 -106.08333"
"27","795-69054",1983-08-10,"BWTE","52.08333 -106.08333"
"28","795-69055",1983-08-10,"BWTE","52.08333 -106.08333"
"29","795-69056",1983-08-10,"BWTE","52.08333 -106.08333"
"30","795-69057",1983-08-10,"BWTE","52.08333 -106.08333"
"31","795-69058",1983-08-10,"BWTE","52.08333 -106.08333"
"32","795-69059",1983-08-10,"BWTE","52.08333 -106.08333"
"33","795-69010",1983-07-07,"BWTE","52.08333 -106.08333"
"34","795-69060",1983-08-10,"BWTE","52.08333 -106.08333"
"35","795-69061",1983-08-10,"BWTE","52.08333 -106.08333"
"36","795-69062",1983-08-10,"BWTE","52.08333 -106.08333"
"37","795-69064",1983-08-10,"BWTE","52.08333 -106.08333"
"38","795-69066",1983-08-10,"BWTE","52.08333 -106.08333"
"39","795-69067",1983-08-10,"BWTE","52.08333 -106.08333"
"40","795-69069",1983-08-25,"BWTE","52.08333 -106.08333"
"41","795-69077",1983-08-25,"BWTE","52.08333 -106.08333"
"42","795-69079",1983-08-25,"BWTE","52.08333 -106.08333"
"43","795-69081",1983-08-25,"BWTE","52.08333 -106.08333"
"44","795-69085",1984-06-05,"BWTE","52.08333 -106.08333"
