orig_location,location_found,new_location_name,gen_location
island on pd. #1,TRUE,pond 1,inside park
p125,TRUE,pond 125,within park
p25,TRUE,pond 25,within park
p1,TRUE,pond 1,within park
p19,TRUE,pond 19,within park
p20,TRUE,pond 20,within park
p26A,TRUE,pond 26,within park
p50,TRUE,pond 50,within park
p90,TRUE,pond 90,within park
p27,TRUE,pond 27,within park
p67,TRUE,pond 67,within park
"p24,p27",TRUE,pond 27,within park
p26,TRUE,pond 26,within park
p26 N,TRUE,pond 26,within park
p65 S,TRUE,pond 65,within park
p65 ,TRUE,pond 65,within park
p65,TRUE,pond 65,within park
p65 S ,TRUE,pond 65,within park
"p49,p62",TRUE,pond 62,within park
near p124,TRUE,pond 124,within park
p125 S,TRUE,pond 125,within park
p125 S ,TRUE,pond 125,within park
p130,TRUE,pond 130,within park
p97,TRUE,pond 97,within park
p62,TRUE,pond 62,within park
"p1,p125",TRUE,pond 125,within park
p2,TRUE,pond 2,within park
p66 0900,TRUE,pond 66,within park
p46,TRUE,pond 46,within park
p66,TRUE,pond 66,within park
p79 W,TRUE,pond 79,within park
N end of pond #25,TRUE,pond 25,within park
pond #8143,TRUE,pond 81,within park
p86,TRUE,pond 8,within park
p79 E,TRUE,pond 79,within park
n50 (3 eggs) 15 m NW of pond 39,TRUE,pond 39,within park
p124,TRUE,pond 124,within park
N end of pd #1,TRUE,pond 1,within park
P50,TRUE,pond 50,within park
P125,TRUE,pond 125,within park
p125 - flew to p1,TRUE,pond 125,within park
p6751,TRUE,pond 67,within park
p15 dugout (not far from 85 nest site),TRUE,pond 15,within park
p120,TRUE,pond 120,within park
pond 4857,TRUE,pond 48,within park
p6,TRUE,pond 6,within park
p70,TRUE,pond 70,within park
p71,TRUE,pond 71,within park
pond #5335,TRUE,pond 5,within park
p94,TRUE,pond 94,within park
pond 1 E,TRUE,pond 1,within park
15:45 p67,TRUE,pond 67,within park
18:00 p67,TRUE,pond 67,within park
p84,TRUE,pond 84,within park
pd 1255,TRUE,pond 125,within park
pond 125n,TRUE,pond 125,within park
pond 1 W,TRUE,pond 1,within park
pd 125n,TRUE,pond 125,within park
p125N,TRUE,pond 125,within park
pond 1,TRUE,pond 1,within park
pd 1 (S end),TRUE,pond 1,within park
pd 1,TRUE,pond 1,within park
p67 (NE),TRUE,pond 67,within park
pd 125 N,TRUE,pond 125,within park
pond 79 SW,TRUE,pond 79,within park
p 125 S,TRUE,pond 125,within park
pd 98,TRUE,pond 98,within park
pd 65 S,TRUE,pond 65,within park
pond 1 (SW),TRUE,pond 1,within park
pond 25 N,TRUE,pond 25,within park
pd 79E,TRUE,pond 79,within park
pd 67,TRUE,pond 67,within park
pd67,TRUE,pond 67,within park
pd50,TRUE,pond 50,within park
pd20,TRUE,pond 20,within park
pd19,TRUE,pond 19,within park
E of pd 66,TRUE,pond 66,within park
pd79E,TRUE,pond 79,within park
NE pd66/pd67,TRUE,pond 67,within park
pd 4439,TRUE,pond 4,within park
pd25,TRUE,pond 25,within park
pd65,TRUE,pond 65,within park
E of pd50 (in stubble),TRUE,pond 50,within park
pond 79E-S,TRUE,pond 79,within park
pd113,TRUE,pond 113,within park
n50 S of pd 20,TRUE,pond 20,within park
pd 1 E,TRUE,pond 1,within park
pd 25,TRUE,pond 25,within park
pd 35,TRUE,pond 35,within park
pd26,TRUE,pond 26,within park
pd66,TRUE,pond 66,within park
pd 1 W,TRUE,pond 1,within park
pd1,TRUE,pond 1,within park
in stubble S of pd24,TRUE,pond 24,within park
decoy trap (pd27),TRUE,pond 27,within park
pd 1 (E),TRUE,pond 1,within park
pd 1 (E side),TRUE,pond 1,within park
pd1 nest 008,TRUE,pond 1,within park
pd1 E,TRUE,pond 1,within park
pd 1 (decoy trap),TRUE,pond 1,within park
pd 1 ,TRUE,pond 1,within park
pd 65,TRUE,pond 65,within park
pd 10,TRUE,pond 10,within park
pd 66,TRUE,pond 66,within park
pd 4857,TRUE,pond 48,within park
pd 1 E ,TRUE,pond 1,within park
pd 1 N,TRUE,pond 1,within park
pd 79 E,TRUE,pond 79,within park
pd 65 s,TRUE,pond 65,within park
N of pd 25,TRUE,pond 25,within park
pd 113,TRUE,pond 113,within park
pd 26,TRUE,pond 26,within park
pd 1 SE,TRUE,pond 1,within park
pd 17,TRUE,pond 17,within park
pd 1 SW,TRUE,pond 1,within park
pd 20 ,TRUE,pond 20,within park
pd 18,TRUE,pond 18,within park
