original_location_description,exact_location,general_location
island on pd. #1,pond 1,within NWA
p125,pond 125,within NWA
p25,pond 25,within NWA
p1,pond 1,within NWA
p19,pond 19,within NWA
p20,pond 20,within NWA
p26A,pond 26,within NWA
p50,pond 50,within NWA
p90,pond 90,within NWA
p27,pond 27,within NWA
p67,pond 67,within NWA
"p24,p27",pond 27,within NWA
p26,pond 26,within NWA
p26 N,pond 26,within NWA
p65 S,pond 65,within NWA
p65 ,pond 65,within NWA
p65,pond 65,within NWA
p65 S ,pond 65,within NWA
"p49,p62",unknown,within NWA
near p124,pond 124,within NWA
p125 S,pond 125,within NWA
p125 S ,pond 125,within NWA
p130,pond 130,within NWA
p97,pond 97,within NWA
p62,pond 62,within NWA
"p1,p125",pond 125,within NWA
p2,pond 2,within NWA
p66 0900,pond 66,within NWA
p46,pond 46,within NWA
p66,pond 66,within NWA
p79 W,pond 79,within NWA
N end of pond #25,pond 25,within NWA
pond #8143,unknown,surrounding area
p86,pond 86,within NWA
p79 E,pond 79,within NWA
n50 (3 eggs) 15 m NW of pond 39,pond 39,within NWA
p124,pond 124,within NWA
N end of pd #1,pond 1,within NWA
P50,pond 50,within NWA
P125,pond 125,within NWA
p125 - flew to p1,pond 125,within NWA
p6751,unknown,surrounding area
p15 dugout (not far from 85 nest site),pond 15,within NWA
p120,pond 120,within NWA
pond 4857,unknown,surrounding area
p6,pond 6,within NWA
p70,pond 70,within NWA
p71,pond 71,within NWA
pond #5335,unknown,surrounding area
p94,pond 94,within NWA
pond 1 E,pond 1,within NWA
15:45 p67,pond 67,within NWA
18:00 p67,pond 67,within NWA
p84,pond 84,within NWA
pd 1255,unknown,surrounding area
pond 125n,pond 125,within NWA
pond 1 W,pond 1,within NWA
pd 125n,pond 125,within NWA
p125N,pond 125,within NWA
pond 1,pond 1,within NWA
pd 1 (S end),pond 1,within NWA
pd 1,pond 1,within NWA
p67 (NE),pond 67,within NWA
pd 125 N,pond 125,within NWA
pond 79 SW,pond 79,within NWA
p 125 S,pond 125,within NWA
pd 98,pond 98,within NWA
pd 65 S,pond 65,within NWA
pond 1 (SW),pond 1,within NWA
pond 25 N,pond 25,within NWA
pd 79E,pond 79,within NWA
pd 67,pond 67,within NWA
pd67,pond 67,within NWA
pd50,pond 50,within NWA
pd20,pond 20,within NWA
pd19,pond 19,within NWA
E of pd 66,pond 66,within NWA
pd79E,pond 79,within NWA
NE pd66/pd67,pond 67,within NWA
pd 4439,unknown,surrounding area
pd25,pond 25,within NWA
pd65,pond 65,within NWA
E of pd50 (in stubble),pond 50,within NWA
pond 79E-S,pond 79,within NWA
pd113,pond 113,within NWA
n50 S of pd 20,pond 20,within NWA
pd 1 E,pond 1,within NWA
pd 25,pond 25,within NWA
pd 35,pond 35,within NWA
pd26,pond 26,within NWA
pd66,pond 66,within NWA
pd 1 W,pond 1,within NWA
pd1,pond 1,within NWA
in stubble S of pd24,pond 24,within NWA
decoy trap (pd27),pond 27,within NWA
pd 1 (E),pond 1,within NWA
pd 1 (E side),pond 1,within NWA
pd1 nest 008,pond 1,within NWA
pd1 E,pond 1,within NWA
pd 1 (decoy trap),pond 1,within NWA
pd 1 ,pond 1,within NWA
pd 65,pond 65,within NWA
pd 10,pond 10,within NWA
pd 66,pond 66,within NWA
pd 4857,unknown,surrounding area
pd 1 E ,pond 1,within NWA
pd 1 N,pond 1,within NWA
pd 79 E,pond 79,within NWA
pd 65 s,pond 65,within NWA
N of pd 25,pond 25,within NWA
pd 113,pond 113,within NWA
pd 26,pond 26,within NWA
pd 1 SE,pond 1,within NWA
pd 17,pond 17,within NWA
pd 1 SW,pond 1,within NWA
pd 20 ,pond 20,within NWA
pd 18,pond 18,within NWA
pd 15,pond 15,within NWA
pd 20 (19:07 hrs),pond 20,within NWA
SE pd 20 on road,pond 20,within NWA
pd 1 - PEN,pond 1,within NWA
pd 87,pond 87,within NWA
pd 1 S,pond 1,within NWA
pd 1 NW,pond 1,within NWA
pd 4,pond 4,within NWA
pd 90,pond 90,within NWA
p140,pond 140,within NWA
SE Pd1,pond 1,within NWA
"E of Pd1, W of Pd140",pond 140,within NWA
West of Pd40,pond 40,within NWA
P2943,unknown,surrounding area
P4857,unknown,surrounding area
P1,pond 1,within NWA
P90,pond 90,within NWA
Pd140 - orange? green?,pond 140,within NWA
Pd140 ,pond 140,within NWA
N of Yard? Negative Pd1,pond 1,within NWA
Pd1 NE,pond 1,within NWA
SE end Pd1,pond 1,within NWA
Pd1,pond 1,within NWA
Island Pd1,pond 1,within NWA
Pd1 on Island,pond 1,within NWA
N end Pd1,pond 1,within NWA
NE end Pd1,pond 1,within NWA
NW side Pd1,pond 1,within NWA
Pd1 Island,pond 1,within NWA
Pd5056,unknown,surrounding area
NW end Pd1,pond 1,within NWA
Pd90 N end at bait traps,pond 90,within NWA
NW share of island Pd1,pond 1,within NWA
Nest area pond #1,pond 1,within NWA
On nest Pd1 Island,pond 1,within NWA
Pd94,pond 94,within NWA
nest area Pd48,pond 48,within NWA
Pd90,pond 90,within NWA
Pd90 NW,pond 90,within NWA
"E of Pd90, S of 6751, E of 92",pond 90,within NWA
Pd90 (Swend),pond 90,within NWA
Pd90 SR only saw colours/not...?,pond 90,within NWA
Pd90 NW side,pond 90,within NWA
Pd90 - South Central Broods Obs,pond 90,within NWA
NW tip Pd90,pond 90,within NWA
Pd90 (NW side),pond 90,within NWA
W end of Pd90,pond 90,within NWA
Pd905,pond 90,within NWA
Pd90 NW end,pond 90,within NWA
Pd90 area,pond 90,within NWA
P133,pond 133,within NWA
P137,pond 137,within NWA
Pd1 N side of island,pond 1,within NWA
Pd1 W Side,pond 1,within NWA
Pd 86,pond 8,within NWA
East side Pd1,pond 1,within NWA
Pd7144,pond 71,within NWA
N018 (w pd1),pond 1,within NWA
SW end Pd1,pond 1,within NWA
S end Pd66,pond 66,within NWA
East Pd1,pond 1,within NWA
Pd1 w,pond 1,within NWA
Pd1 N tip ISL,pond 1,within NWA
Pd1 N west,pond 1,within NWA
Pd20,pond 20,within NWA
CW side Pd1,pond 1,within NWA
Pd67,pond 67,within NWA
Pd1 N end,pond 1,within NWA
N end in Pd1 uplands,pond 1,within NWA
Pd96,pond 96,within NWA
Pd125 N,pond 125,within NWA
Pd125 S,pond 125,within NWA
SE Pd125 S,pond 125,within NWA
Pd125 S OR N,pond 125,within NWA
Brood Pd125 - no sight,pond 125,within NWA
Pd125 N or S,pond 125,within NWA
S end Pd125,pond 125,within NWA
Pd125 N (0733-0909),pond 125,within NWA
E side Pd125 N,pond 125,within NWA
Pd124 (visual),pond 124,within NWA
Pd124,pond 124,within NWA
Pd97,pond 97,within NWA
NE end of Pd97,pond 97,within NWA
E side Pd97,pond 97,within NWA
W of  Pd25,pond 25,within NWA
Pd25 vicinity,pond 25,within NWA
E of pd35 22m. E of nest II 17,pond 35,within NWA
E of pd35,pond 35,within NWA
on nest E of pd35,pond 35,within NWA
N of pd35,pond 35,within NWA
NE of pd35,pond 35,within NWA
pd35 alone,pond 35,within NWA
NE of pd35 (ON NEST),pond 35,within NWA
on SE end Pd26,pond 26,within NWA
Midway between PD67+66,pond 67,within NWA
SE Pd67,pond 67,within NWA
SW Pd67,pond 67,within NWA
S end Pd67 (possiby in uplands),pond 67,within NWA
S end Pd67,pond 67,within NWA
N end Pd67,pond 67,within NWA
Pd67 CW side,pond 67,within NWA
Pd67 SW end,pond 67,within NWA
Pd67 N end,pond 67,within NWA
Pd67 NE side,pond 67,within NWA
Pd67 N,pond 67,within NWA
Pd67 CENTER,pond 67,within NWA
Pd1 N site,pond 1,within NWA
S end Pd1,pond 1,within NWA
SE side Pd1,pond 1,within NWA
SW end of Pd1,pond 1,within NWA
Pd1 S end,pond 1,within NWA
Pd1 ,pond 1,within NWA
Pd 90,pond 90,within NWA
S end of Pd1,pond 1,within NWA
Pd1 SW end,pond 1,within NWA
Pd1 W end and SE side,pond 1,within NWA
Pd1 NE side,pond 1,within NWA
Pd6? no sight,pond 6,within NWA
Pd1 central east side ,pond 1,within NWA
E side Pd1,pond 1,within NWA
SW side Pd1,pond 1,within NWA
Pd 6631,pond 66,within NWA
Pd105 watched from 1445-1615,pond 105,within NWA
W Pd28,pond 28,within NWA
E Pd26,pond 26,within NWA
Pd26,pond 26,within NWA
10 m. E swallow box 110 SW Pd 20 W,pond 20,within NWA
S of Pd26 near road,pond 26,within NWA
Pd25,pond 25,within NWA
Pd99,pond 99,within NWA
Pd98,pond 98,within NWA
N of Pd128,pond 128,within NWA
NE side Pd20,pond 20,within NWA
Pd 70 or 71,pond 70,within NWA
Pd 75,pond 75,within NWA
Pd 70 duckling 1b,pond 70,within NWA
W end Pd79,pond 79,within NWA
Pd76,pond 76,within NWA
Pd76 no sighting,NA,NA
S side Pd 76,pond 76,within NWA
SE side Pd 66,pond 66,within NWA
N side Pd 76,pond 76,within NWA
Pd76?,pond 76,within NWA
Pd66,pond 66,within NWA
Pd 71,pond 71,within NWA
