"","band_num","SPECIES","DATE","COORDINATES"
"1","795-69001","BWTE","6/2/1983","52.08333 -106.08333"
"2","795-69019","BWTE","7/12/1983","52.08333 -106.08333"
"3","795-69012","BWTE","7/14/1983","52.08333 -106.08333"
"4","795-69013","BWTE","7/15/1983","52.08333 -106.08333"
"5","795-69016","BWTE","7/19/1983","52.08333 -106.08333"
"6","795-69017","BWTE","7/20/1983","52.08333 -106.08333"
"7","795-69018","BWTE","7/20/1983","52.08333 -106.08333"
"8","795-69020","BWTE","7/20/1983","52.08333 -106.08333"
"9","795-69021","BWTE","7/20/1983","52.08333 -106.08333"
"10","795-69026","BWTE","8/5/1983","52.08333 -106.08333"
"11","795-69028","BWTE","8/5/1983","52.08333 -106.08333"
"12","795-69032","BWTE","8/5/1983","52.08333 -106.08333"
"13","795-69034","BWTE","8/5/1983","52.08333 -106.08333"
"14","795-69038","BWTE","8/5/1983","52.08333 -106.08333"
"15","795-69039","BWTE","8/5/1983","52.08333 -106.08333"
"16","795-69040","BWTE","8/5/1983","52.08333 -106.08333"
"17","795-69042","BWTE","8/5/1983","52.08333 -106.08333"
"18","795-69044","BWTE","8/5/1983","52.08333 -106.08333"
"19","795-69045","BWTE","8/5/1983","52.08333 -106.08333"
"20","795-69046","BWTE","8/5/1983","52.08333 -106.08333"
"21","795-69047","BWTE","8/5/1983","52.08333 -106.08333"
"22","795-69048","BWTE","8/5/1983","52.08333 -106.08333"
"23","795-69049","BWTE","8/5/1983","52.08333 -106.08333"
"24","795-69050","BWTE","8/5/1983","52.08333 -106.08333"
"25","795-69051","BWTE","8/5/1983","52.08333 -106.08333"
"26","795-69053","BWTE","8/10/1983","52.08333 -106.08333"
"27","795-69054","BWTE","8/10/1983","52.08333 -106.08333"
"28","795-69055","BWTE","8/10/1983","52.08333 -106.08333"
"29","795-69056","BWTE","8/10/1983","52.08333 -106.08333"
"30","795-69057","BWTE","8/10/1983","52.08333 -106.08333"
"31","795-69058","BWTE","8/10/1983","52.08333 -106.08333"
"32","795-69059","BWTE","8/10/1983","52.08333 -106.08333"
"33","795-69010","BWTE","7/7/1983","52.08333 -106.08333"
"34","795-69060","BWTE","8/10/1983","52.08333 -106.08333"
"35","795-69061","BWTE","8/10/1983","52.08333 -106.08333"
"36","795-69062","BWTE","8/10/1983","52.08333 -106.08333"
"37","795-69064","BWTE","8/10/1983","52.08333 -106.08333"
"38","795-69066","BWTE","8/10/1983","52.08333 -106.08333"
"39","795-69067","BWTE","8/10/1983","52.08333 -106.08333"
"40","795-69069","BWTE","8/25/1983","52.08333 -106.08333"
"41","795-69077","BWTE","8/25/1983","52.08333 -106.08333"
"42","795-69079","BWTE","8/25/1983","52.08333 -106.08333"
"43","795-69081","BWTE","8/25/1983","52.08333 -106.08333"
"44","795-69085","BWTE","6/5/1984","52.08333 -106.08333"
"45","795-69087","BWTE","6/18/1984","52.08333 -106.08333"
"46","795-69089","BWTE","6/25/1984","52.08333 -106.08333"
"47","795-69092","BWTE","7/9/1984","52.08333 -106.08333"
"48","795-74112","","",""
"49","775-74117","BWTE","6/1/1985","52.25 -106.08333"
"50","775-74119","BWTE","6/9/1985","52.25 -106.08333"
"51","775-74120","BWTE","6/9/1985","52.25 -106.08333"
"52","775-74121","BWTE","6/11/1985","52.25 -106.08333"
"53","775-74122","BWTE","6/11/1985","52.25 -106.08333"
"54","775-74123","BWTE","6/13/1985","52.25 -106.08333"
"55","775-74124","BWTE","6/13/1985","52.25 -106.08333"
"56","775-74125","BWTE","6/14/1985","52.25 -106.08333"
"57","775-74126","BWTE","6/14/1985","52.25 -106.08333"
"58","775-74127","BWTE","6/15/1985","52.25 -106.08333"
"59","775-74128","BWTE","6/15/1985","52.25 -106.08333"
"60","775-74129","BWTE","6/19/1985","52.25 -106.08333"
"61","775-74130","BWTE","6/24/1985","52.25 -106.08333"
"62","775-74131","BWTE","6/24/1985","52.25 -106.08333"
"63","775-74132","BWTE","6/25/1985","52.25 -106.08333"
"64","775-74134","BWTE","6/27/1985","52.25 -106.08333"
"65","775-74136","BWTE","7/3/1985","52.25 -106.08333"
"66","775-74138","BWTE","7/9/1985","52.25 -106.08333"
"67","775-74144","BWTE","7/15/1985","52.25 -106.08333"
"68","775-74156","BWTE","7/15/1985","52.25 -106.08333"
"69","775-74158","BWTE","7/15/1985","52.25 -106.08333"
"70","775-74157","BWTE","7/15/1985","52.25 -106.08333"
"71","775-74166","BWTE","7/16/1985","52.25 -106.08333"
"72","775-74176","BWTE","7/22/1985","52.25 -106.08333"
"73","775-74177","BWTE","7/22/1985","52.25 -106.08333"
"74","775-74190","BWTE","7/23/1985","52.25 -106.08333"
"75","775-74309","BWTE","7/24/1985","52.25 -106.08333"
"76","775-74321","BWTE","7/25/1985","52.25 -106.08333"
"77","775-74323","BWTE","7/25/1985","52.25 -106.08333"
"78","775-74325","BWTE","7/25/1985","52.25 -106.08333"
"79","775- 74327","BWTE","7/25/1985","52.25 -106.08333"
"80","775-74327","","see above",""
"81","775-74348","BWTE","7/30/1985","52.25 -106.08333"
"82","775-74350","BWTE","7/30/1985","52.25 -106.08333"
"83","775-75353","BWTE","7/30/1985","52.25 -106.08333"
"84","775-74355","BWTE","7/30/1985","52.25 -106.08333"
"85","775-74356","BWTE","7/30/1985","52.25 -106.08333"
"86","775-74358","BWTE","7/30/1985","52.25 -106.08333"
"87","775-74362","BWTE","7/30/1985","52.25 -106.08333"
"88","775-74369","BWTE","7/30/1985","52.25 -106.08333"
"89","775-74370","BWTE","7/30/1985","52.25 -106.08333"
"90","775-74379","BWTE","7/30/1985","52.25 -106.08333"
"91","775-74383","BWTE","8/1/1985","52.25 -106.08333"
"92","775-74386","BWTE","8/1/1985","52.25 -106.08333"
"93","775-74388","BWTE","8/1/1985","52.25 -106.08333"
"94","775-74390","BWTE","8/1/1985","52.25 -106.08333"
"95","775-74391","BWTE","8/1/1985","52.25 -106.08333"
"96","775-74399","BWTE","8/6/1985","52.25 -106.08333"
"97","775-74201","BWTE","8/6/1985","52.25 -106.08333"
"98","775-74400","BWTE","8/6/1985","52.25 -106.08333"
"99","775-74202","BWTE","8/6/1985","52.25 -106.08333"
"100","775-74206","BWTE","8/6/1985","52.25 -106.08333"
"101","775-74207","BWTE","8/6/1985","52.25 -106.08333"
"102","775-74219","BWTE","8/8/1985","52.25 -106.08333"
"103","775-74221","BWTE","8/8/1985","52.25 -106.08333"
"104","775-74222","BWTE","8/8/1985","52.25 -106.08333"
"105","775-74223","BWTE","8/8/1985","52.25 -106.08333"
"106","775-74224","BWTE","8/8/1985","52.25 -106.08333"
"107","775-74225","BWTE","8/8/1985","52.25 -106.08333"
"108","775-74226","BWTE","8/8/1985","52.25 -106.08333"
"109","775-74228","BWTE","8/8/1985","52.25 -106.08333"
"110","775-74233","BWTE","8/8/1985","52.25 -106.08333"
"111","775-74251","BWTE","8/12/1985","52.25 -106.08333"
"112","775-74252","BWTE","8/12/1985","52.25 -106.08333"
"113","775-74253","BWTE","8/12/1985","52.25 -106.08333"
"114","775-74254","BWTE","8/13/1985","52.25 -106.08333"
"115","775-74255","BWTE","8/15/1985","52.25 -106.08333"
"116","775-74256","BWTE","8/15/1985","52.25 -106.08333"
"117","775-74257","BWTE","8/15/1985","52.25 -106.08333"
"118","775-74259","BWTE","8/15/1985","52.25 -106.08333"
"119","775-74260","BWTE","8/15/1985","52.25 -106.08333"
