"","Pond.ID","Easting","Northing"
"1","1",425555,5785305
"2","2",425676,5785502
"3","3",425523,5785470
"4","4",425546,5785049
"5","5",425502,5784963
"6","6",425444,5784926
"7","7",425464,5784983
"8","8",425389,5785038
"9","9",425382,5785085
"10","10",425343,5785058
"11","11",425336,5785255
"12","12",425242,5785323
"13","13",425210,5785440
"14","14",425256,5785602
"15","15",425197,5785540
"16","16",425153,5785555
"17","17",424989,5785477
"18","18",425153,5785196
"19","19",425051,5785088
"20","20",424918,5785179
"21","24",424705,5784967
"22","25",424628,5785159
"23","26",424779,5785089
"24","27",424697,5785269
"25","28",424844,5785282
"26","29",424659,5785489
"27","30",424779,5785674
"28","31",424630,5785674
"29","32",424537,5785686
"30","33",424437,5785642
"31","35",424479,5785132
"32","36",424155,5784946
"33","37",424121,5784833
"34","38",424065,5784694
"35","39",424220,5784848
"36","40",424248,5784774
"37","41",424276,5784837
"38","42",424321,5784883
"39","45",424377,5784908
"40","46",424681,5784821
"41","48",424628,5784721
"42","49",424612,5784504
"43","50",424364,5784477
"44","55",424171,5784293
"45","56",424162,5784240
"46","57",424103,5784141
"47","58",424271,5784232
"48","60",424668,5784219
"49","61",424760,5784146
"50","62",424972,5784112
"51","63",424999,5784172
"52","65",424922,5784456
"53","66",425131,5784467
"54","67",425017,5784874
"55","68",425237,5784131
"56","69",425287,5784795
"57","70",425375,5784794
"58","71",425360,5784690
"59","73",425124,5784623
"60","74",425198,5784720
"61","75",425333,5784416
"62","76",425207,5784305
"63","78",425196,5784105
"64","79",425336,5784219
"65","80",425477,5784297
"66","81",425654,5784203
"67","84",425848,5784424
"68","85",425793,5784239
"69","87",425859,5784117
"70","88",425913,5784099
"71","89",426214,5784106
"72","90",426194,5784355
"73","92",426409,5784597
"74","94",426502,5784865
"75","95",426450,5784880
"76","96",426449,5784937
"77","97",426350,5784910
"78","98",426304,5784783
"79","99",426110,5784760
"80","100",426161,5784859
"81","101",426125,5784873
"82","103",425951,5784881
"83","105",425986,5784665
"84","106",425821,5784622
"85","107",425757,5784679
"86","109",425820,5784822
"87","110",425680,5784744
"88","111",425635,5784693
"89","113",425660,5784889
"90","117",425842,5785025
"91","118",425914,5784930
"92","119",425979,5784945
"93","120",426047,5785048
"94","122",426155,5784935
"95","124",426185,5785118
"96","125",426152,5785264
"97","127",426286,5785229
"98","128",426302,5785104
"99","129",246460,5785186
"100","130",426371,5785175
"101","131",426371,5785280
"102","132",426375,5785412
"103","133",426419,5785540
"104","135",426268,5785491
"105","136",426260,5785540
"106","137",426021,5785640
"107","139",425986,5785451
"108","140",425873,5785284
"109","16A",425118,5785670
"110","20A",424859,5785205
"111","24A",424695,5785026
"112","26A",424729,5785193
