"","band_num","date_resighted","location","observer","status","comments","Other.notes..there.are.sometimes.handwritten.notes.such.as.the.one.in.this.binder.before.page.49","Brood.instead.of.Resightings","X","X.1","X.2","X.3"
"1","1237-28506","1982-06-01","p125",NA,"with mate ","Ignored data: when first banded, mark, capture method, species, capture location",NA,NA,NA,NA,NA,NA
"2","1237-28506","1982-06-03","p25",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"3","1237-28506","1982-06-25","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"4","1237-28506","1983-05-03","p19","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"5","1237-28506","1983-05-09","stubble field #50, #60",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"6","1237-28506","1983-05-24","p19","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"7","1237-28514","1982-06-04","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"8","1237-28514","1983-04-29","p20","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"9","1237-28514","1983-05-05","n11","ROB","flushed 10 eggs",NA,NA,NA,NA,NA,NA,NA
"10","1237-28514","1983-05-24","p26A","ROB","with mate ","Pond #26A",NA,NA,NA,NA,NA,NA
"11","1237-28515","1982-06-01","p125",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"12","1237-28515","1982-06-15","p50",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"13","1237-28515","1982-06-16","p90",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"14","1237-28515","1982-06-22","p125",NA,"?","there was a literal question mark ",NA,NA,NA,NA,NA,NA
"15","1237-28515","1983-05-06","R.O.W near #67",NA,NA,"""Nest #1- nest attempt unsuccessful""",NA,NA,NA,NA,NA,NA
"16","1237-28515","1983-05-15","p90","ROB","with mate",NA,NA,NA,NA,NA,NA,NA
"17","1237-28515","1983-05-20","n1 ","JMS","with mate",NA,NA,NA,NA,NA,NA,NA
"18","1237-28515","1983-05-30","p27","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"19","1237-28515","1983-06-01","p26A","EJW","with mate",NA,NA,NA,NA,NA,NA,NA
"20","1237-28515","1983-07-?","N.E of pond #26 retrapped in nest trap",NA,"this bird is an adult","""Nest #77 (7 egg clutch) retrapped- nest attempt unsuccessful"", day missing from hole punch",NA,NA,NA,NA,NA,NA
"21","1237-28515","1983-10-12","#1","MRM","feeding with large group","Does not specify if pond or nest, I would assume pond",NA,NA,NA,NA,NA,NA
"22","1237-28515","1983-10-18","#1","MRM","feeding with 5 females and 2 males","""bird removed weed that was caught on nasal tag""",NA,NA,NA,NA,NA,NA
"23","1237-28515","1984-05-31","#27","JTJ","with male",NA,NA,NA,NA,NA,NA,NA
"24","1237-28515","1984-05-18","#27","JMS","with male","""only left side visible and seen as either a blue disc or square-not a positive identification""",NA,NA,NA,NA,NA,NA
"25","1237-28515","1984-06-11","#27","MRM","with male",NA,NA,NA,NA,NA,NA,NA
"26","1237-28515","1984-06-13","stubble field S of house","JEG,JJJ","with male",NA,NA,NA,NA,NA,NA,NA
"27","1237-28515","1984-06-14","#27","JEG","with male","""male has wide white neck band""",NA,NA,NA,NA,NA,NA
"28","1237-28515","1986-09-10","p67","RGC","with 3 males","""100% identification""",NA,NA,NA,NA,NA,NA
"29","1237-28515","1986-09-19","p67","RGC","with 1 female (NT) and 22 males","",NA,NA,NA,NA,NA,NA
"30","1237-28515","1987-05-?","n9","RGC",NA,"""hatched, young web-tagged, 6 years old"", day not given",NA,NA,NA,NA,NA,NA
"31","1237-28515","1988-04-14","p24,p27","RGC","paired","""male not banded""",NA,NA,NA,NA,NA,NA
"32","1237-28515","1988-04-18","p26","RGC","with male",NA,NA,NA,NA,NA,NA,NA
"33","1237-28515","1988-04-21","p26","RGC","with male",NA,NA,NA,NA,NA,NA,NA
"34","1237-28515","1988-05-06","p26","RGC","alone","""likely on recess""",NA,NA,NA,NA,NA,NA
"35","1237-28515","1988-05-11","p25","RGC via MG",NA,NA,NA,NA,NA,NA,NA,NA
"36","1237-28515","1988-05-11","p25","MG","paired",NA,NA,NA,NA,NA,NA,NA
"37","1237-28515","1988-05-13","p26 N","RGC",NA,NA,NA,NA,NA,NA,NA,NA
"38","1237-28515","1988-05-25","p26 N","MG","paired","""caught by Joey""",NA,NA,NA,NA,NA,NA
"39","1237-28515","1988-05-25","p26",NA,NA,"""recap mass 870g, wing 273, wound in left flank on breast samecoup as 144740290""",NA,NA,NA,NA,NA,NA
"40","1237-28515","1988-06-03","n36","RGC",NA,NA,NA,NA,NA,NA,NA,NA
"41","1237-28515","1988-06-17","p65 S","MG","alone",NA,NA,NA,NA,NA,NA,NA
"42","1237-28515","1988-06-18","p26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1237-28515","1988-06-23","see comments ",NA,NA,"""in grass between 26 and 26 W""",NA,NA,NA,NA,NA,NA
"44","1237-28515","1988-07-03","p65 ","RGC",NA,"""w/ 1 IIa""",NA,NA,NA,NA,NA,NA
"45","1237-28515","1988-07-11","p65","RGC",NA,NA,NA,NA,NA,NA,NA,NA
"46","1237-28515","1988-07-28","p65 S ","RGC",NA,"""w/ 1 IIa/b""",NA,NA,NA,NA,NA,NA
"47","1237-28516","1982-06-11","p25",NA,NA,"""first nest site predated-trapped on second nest 7 egg clutch""",NA,NA,NA,NA,NA,NA
"48","1237-28516","1982-06-15","p25",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"49","1237-28516","1986-04-12","p49,p62","RGC","with mate ","""Not a 100% but 90% certain"", was written as pond4962",NA,NA,NA,NA,NA,NA
"50","1237-28517","1982-06-01","p25",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"51","1237-28517","1982-06-02","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"52","1237-28517","1982-06-03","p1",NA,"wtih mate",NA,NA,NA,NA,NA,NA,NA
"53","1237-28517","1982-06-22","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"54","1237-28518","1982-06-28","near p124",NA,NA,"""FOUND DEAD"", ""TAG COMBINATION REUSED MAY 14/84""",NA,NA,NA,NA,NA,NA
"55","1237-28519","1982-06-15","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"56","1237-28519","1982-06-16","p1",NA,"with mate",NA,NA,NA,NA,NA,NA,NA
"57","1237-28519","1982-06-30","p1",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
"58","1237-28519","1983-05-20","p1","EJW","with mate ",NA,NA,NA,NA,NA,NA,NA
"59","1237-28519","1983-06-02","NE of #29","EJW","with mate","I would assume they mean p29",NA,NA,NA,NA,NA,NA
"60","1237-28519","1983-09-20","#1","EJW","alone","I would assume they mean p1",NA,NA,NA,NA,NA,NA
"61","1237-28519","1983-09-27","#1","EJW","with 1 female ",NA,NA,NA,NA,NA,NA,NA
"62","1237-28519","1983-10-05","#1","EJW,MRM","?","there was a literal question mark",NA,NA,NA,NA,NA,NA
"63","1237-28519","1983-10-12","#1","MRM","feeding in large group",NA,NA,NA,NA,NA,NA,NA
"64","1237-28520",NA,NA,NA,NA,"""11 eggs in nest May 19, 10 eggs in nest May 30""",NA,NA,NA,NA,NA,NA
"65","1237-28520","1982-06-03","p125 S",NA,"with mate ",NA,NA,NA,NA,NA,NA,NA
