"","band_num","just_band"
"1","795-69001","795-69001"
"2","795-69019","795-69019"
"3","795-69012","795-69012"
"4","795-69013","795-69013"
"5","795-69016","795-69016"
"6","795-69017","795-69017"
"7","795-69018","795-69018"
"8","795-69020","795-69020"
"9","795-69021","795-69021"
"10","795-69026","795-69026"
"11","795-69028","795-69028"
"12","795-69032","795-69032"
"13","795-69034","795-69034"
"14","795-69038","795-69038"
"15","795-69039","795-69039"
"16","795-69040","795-69040"
"17","795-69042","795-69042"
"18","795-69044","795-69044"
"19","795-69045","795-69045"
"20","795-69046","795-69046"
"21","795-69047","795-69047"
"22","795-69048","795-69048"
"23","795-69049","795-69049"
"24","795-69050","795-69050"
"25","795-69051","795-69051"
"26","795-69053","795-69053"
"27","795-69054","795-69054"
"28","795-69055","795-69055"
"29","795-69056","795-69056"
"30","795-69057","795-69057"
"31","795-69058","795-69058"
"32","795-69059","795-69059"
"33","795-69010","795-69010"
"34","795-69060","795-69060"
"35","795-69061","795-69061"
"36","795-69062","795-69062"
"37","795-69064","795-69064"
"38","795-69066","795-69066"
"39","795-69067","795-69067"
"40","795-69069","795-69069"
"41","795-69077","795-69077"
"42","795-69079","795-69079"
"43","795-69081","795-69081"
"44","795-69085","795-69085"
"45","795-69087","795-69087"
"46","795-69089","795-69089"
"47","795-69092","795-69092"
"48","795-74112","795-74112"
"49","775-74117","775-74117"
"50","775-74119","775-74119"
"51","775-74120","775-74120"
"52","775-74121","775-74121"
"53","775-74122","775-74122"
"54","775-74123","775-74123"
"55","775-74124","775-74124"
"56","775-74125","775-74125"
"57","775-74126","775-74126"
"58","775-74127","775-74127"
"59","775-74128","775-74128"
"60","775-74129","775-74129"
"61","775-74130","775-74130"
"62","775-74131","775-74131"
"63","775-74132","775-74132"
"64","775-74134","775-74134"
"65","775-74136","775-74136"
"66","775-74138","775-74138"
"67","775-74144","775-74144"
"68","775-74156","775-74156"
"69","775-74158","775-74158"
"70","775-74157","775-74157"
"71","775-74166","775-74166"
"72","775-74176","775-74176"
"73","775-74177","775-74177"
"74","775-74190","775-74190"
"75","775-74309","775-74309"
"76","775-74321","775-74321"
"77","775-74323","775-74323"
"78","775-74325","775-74325"
"79","775- 74327","775- 7432"
"80","775-74327","775-74327"
"81","775-74348","775-74348"
"82","775-74350","775-74350"
"83","775-75353","775-75353"
"84","775-74355","775-74355"
"85","775-74356","775-74356"
"86","775-74358","775-74358"
"87","775-74362","775-74362"
"88","775-74369","775-74369"
"89","775-74370","775-74370"
"90","775-74379","775-74379"
"91","775-74383","775-74383"
"92","775-74386","775-74386"
"93","775-74388","775-74388"
"94","775-74390","775-74390"
"95","775-74391","775-74391"
"96","775-74399","775-74399"
"97","775-74201","775-74201"
"98","775-74400","775-74400"
"99","775-74202","775-74202"
"100","775-74206","775-74206"
"101","775-74207","775-74207"
"102","775-74219","775-74219"
"103","775-74221","775-74221"
"104","775-74222","775-74222"
"105","775-74223","775-74223"
"106","775-74224","775-74224"
"107","775-74225","775-74225"
"108","775-74226","775-74226"
"109","775-74228","775-74228"
"110","775-74233","775-74233"
"111","775-74251","775-74251"
"112","775-74252","775-74252"
"113","775-74253","775-74253"
"114","775-74254","775-74254"
"115","775-74255","775-74255"
"116","775-74256","775-74256"
"117","775-74257","775-74257"
"118","775-74259","775-74259"
"119","775-74260","775-74260"
"120","775-74262","775-74262"
"121","775-74264","775-74264"
"122","775-74267","775-74267"
"123","775-74277","775-74277"
"124","775-74278","775-74278"
"125","775-74279","775-74279"
"126","775-74280","775-74280"
"127","775-74281","775-74281"
"128","775-74282","775-74282"
"129","775-74433","775-74433"
"130","775-74434","775-74434"
"131","775-74435","775-74435"
"132","775-74436","775-74436"
"133","775-74301","775-74301"
"134","775-74457","775-74457"
"135","775-74458","775-74458"
"136","775-74460","775-74460"
"137","775-74465","775-74465"
"138","775-74463","775-74463"
"139","865-18504+CB","865-18504"
"140","865-18506+CB","865-18506"
"141","865-18508+CB","865-18508"
"142","865-18509+CB","865-18509"
"143","865-18511+CB","865-18511"
"144","865-18512+CB","865-18512"
"145","865-18514+CB","865-18514"
"146","865-18532+CB","865-18532"
"147","865-18533+CB","865-18533"
"148","865-18540+CB","865-18540"
"149","865-18544+CB","865-18544"
"150","865-18559+CB","865-18559"
"151","865-18571+CB","865-18571"
"152","865-18539+GCB","865-18539"
"153","865-18742","865-18742"
"154","865-18746","865-18746"
"155","865-18536","865-18536"
"156","865-18581","865-18581"
"157","865-18589","865-18589"
"158","865-18594","865-18594"
"159","865-18596","865-18596"
"160","865-18661+GCB","865-18661"
"161","865-18763+GCB","865-18763"
"162","865-18665+GCB","865-18665"
"163","775-74198","775-74198"
"164","865-18668+Gband","865-18668"
"165","865-18675+RB","865-18675"
"166","865-18678+RB","865-18678"
"167","865-18679+RB","865-18679"
"168","865-18680+RB","865-18680"
"169","865-18684+RB","865-18684"
"170","865-18686+RB","865-18686"
"171","865-18689+RB","865-18689"
"172","865-18690+RB","865-18690"
"173","865-18691+RB","865-18691"
"174","865-18700+RB","865-18700"
"175","865-18805+RB","865-18805"
"176","865-18833+RB","865-18833"
"177","865-18834+RB","865-18834"
"178","865-18878","865-18878"
"179","865-18935","865-18935"
"180","865-18940","865-18940"
"181","865-18942","865-18942"
"182","865-18943","865-18943"
"183","865-18944","865-18944"
"184","755-49218","755-49218"
"185","755-49219","755-49219"
"186","755-49220","755-49220"
"187","755-49230","755-49230"
"188","755-49285","755-49285"
"189","755-49287","755-49287"
"190","755-49297","755-49297"
"191","755-49288","755-49288"
"192","755-49294","755-49294"
"193","755-49296","755-49296"
"194","755-49308","755-49308"
"195","755-49377","755-49377"
"196","755-49385","755-49385"
"197","755-49369","755-49369"
"198","755-49350","755-49350"
"199","755-49348","755-49348"
"200","755-49253","755-49253"
"201","755-49386","755-49386"
"202","755-49371","755-49371"
"203","755-49496+CB","755-49496"
"204","755-49497","755-49497"
"205","755-49247","755-49247"
"206","755-49499","755-49499"
"207","855-43201","855-43201"
"208","855-43203","855-43203"
"209","865-18850","865-18850"
"210","865-18842","865-18842"
"211","885-43219+CB","885-43219"
"212","885-43221+CB","885-43221"
"213","885-43222+CB","885-43222"
"214","885-43223+CB","885-43223"
"215","885-43224+CB","885-43224"
"216","885-43225+CB","885-43225"
"217","755-49468+CB","755-49468"
"218","865-18948","865-18948"
"219","885-43375","885-43375"
"220","885-43377","885-43377"
"221","885-43378","885-43378"
"222","885-43405","885-43405"
"223","885-43421","885-43421"
"224","",""
"225",NA,NA
"226","876-04949","876-04949"
"227","876-04950","876-04950"
"228","876-04951","876-04951"
"229","876-04952","876-04952"
"230","876-04967","876-04967"
"231","876-04970","876-04970"
"232","876-04971","876-04971"
"233","876-04972","876-04972"
"234","876-04973","876-04973"
"235","876-04984","876-04984"
"236","876-04985","876-04985"
"237","876-04986","876-04986"
"238","876-04988","876-04988"
"239","876-04989","876-04989"
"240","876-04990","876-04990"
"241","876-04902","876-04902"
"242","876-04997","876-04997"
"243","596-68116","596-68116"
