"","location"
"1","p67"
"2","p1"
"3",NA
"4","p50"
"5","p1E"
"6","p26"
"7","p20"
"8","p65"
"9","p66"
"10","p125"
"11","p60"
"12","p cd. 3635"
"13","p7"
"14","p45"
"15","n121"
"16","p71"
"17","p97"
"18","p125S"
"19","p5335"
"20","p7152"
"21","p6"
"22","5965N"
"23","p7144"
"24","p8132"
"25","n107"
"26","n27"
"27","p56"
"28","n24"
"29","n76"
"30","n150"
"31","n87"
"32","p125N"
"33","p79E"
"34","p22"
"35","n37"
"36","p79E (bait trap)"
"37","p79"
"38","n98"
"39","p25"
"40","n140"
"41","n75"
"42","p65S"
"43","p1E(s.end)"
"44","p1 "
"45","p1W(s.end)"
"46","p1W"
"47","79E"
"48","n115"
"49","p90B"
"50","n92"
"51","n38"
"52","n39"
"53","New House "
"54","p4857"
"55","n93"
"56","n123"
"57","n81"
"58","n13"
"59",""
"60","RB: red band"
"61","GCB: green CB"
"62","Gband: green band"
"63","p1 W"
"64","near sabine pass texas"
"65","p1250"
"66","p15"
"67","p1 E"
"68","NE of hose"
"69","NW of house"
"70","p1 (disco)"
"71","pd20"
"72","most h 74"
"73","NE of pd 20"
"74","p79 E"
"75","p69"
"76","p65 S"
"77","n73(successful)"
"78","p65 N"
"79","p65 "
"80","n131"
"81","S fence of W block SE 56"
"82","n33"
"83","p90 B"
"84","SW pig farm"
"85","feeding scu of gute east sve of west block at 2015"
"86","n46"
"87","n119"
"88","p1 E (south)"
"89","n114"
"90","pd125 N"
"91","p125 N"
"92","NNW house"
"93","p125 S"
"94","p1 N"
"95","SW W block"
"96","p5056"
"97","n47"
"98","n25"
"99","p6753"
"100","p16 N"
"101","n95"
"102","p4717"
"103","n79"
"104","p61"
"105","n16A"
"106","n117"
"107","n53"
"108","p78 S"
"109","p25 W"
"110","p6953"
"111","n146"
"112","n89"
"113","p80"
"114","p65 W middle"
"115","field north of 27"
"116","p27"
"117","p4857 E"
"118","100 m NE quanset"
"119","p1 W side"
"120","p1 SW"
"121","n286"
"122","p1857"
"123","nest"
"124","p6954"
"125","p79 W"
"126","p4851"
"127","p90 B S"
"128","p35"
"129","n48"
"130","p island"
"131","p1 NE"
"132","p1 NW"
"133","n025"
"134","p140"
"135","n087"
"136","p1 SE"
"137","p1 E side"
"138","p1 SE side"
"139","pd79"
"140","n168"
"141","p5338 S"
"142","n143"
"143","S end of p1 W + on stable NE p5"
"144","NW p29 n190"
"145","p84"
"146","send p1 in stuble between p4&5"
"147","p20 N end"
"148","p19"
"149","p5338"
"150","P65"
"151","NE (NWA) in flooded stubble"
"152","p6753 SE"
"153","p6751 E"
"154","p6751"
"155","p6753 W"
"156","p6751 N"
"157","andre denis pd on island"
"158","n058"
"159","pd W of Bouissiere's with junk in it"
"160","n363"
"161","p67 "
"162","n524 (p14 E)"
"163","n68"
"164","p1 W "
"165","n69"
"166","p1 S"
"167","SW of north Bouissiere's resicende (N of NE side of study area) large wetland"
"168","p90 "
"169","n06"
"170","westside of island"
"171","p78"
"172","p1 N end"
"173","p6753 N"
"174","stubble NE of NWA"
"175","n241"
"176","p 90 A"
"177","p 90 B"
"178","p90"
"179","p79 E end"
"180","unk"
"181","w Boussia's"
"182","p6136"
"183","p86"
"184","p25 N"
"185","nwa on the SE corner"
"186","p 1 N"
"187","p 1 "
"188","n216 (ISL)"
"189","2nd pd WS of Bous"
"190","ukn"
"191","pond NE of Boussiers"
"192","SE corner NWA"
"193","p58"
"194","SE of Boussiers"
"195","P90 B"
"196","P90 A"
"197","2nd pd S of senwa corner"
"198","P90 S"
"199","p130 N"
"200","p79 "
"201","p8132 andre's denis yd pd"
"202","n941"
"203","p1 E of pd 94"
"204","p1 w "
"205","p35 S SWend native"
"206","p?"
"207","p1 S end"
"208","p5634"
"209","p120"
"210","p1 A"
"211","n281"
"212","p113 NE"
"213","S of pd 5338"
"214","First pond S of NWA sign "
"215","4438"
"216","unknown"
"217","Arthur's big pd"
"218","50m NW of pd 38"
"219","pd 1 "
"220","pd 79E"
"221","UNK "
"222","pd 79E "
"223","N of pd 5056"
"224","pd 65"
"225","pd 66"
"226","1 sec S of Bous"
"227","LK Erie, Ohio"
"228","pd 67"
"229","pd 79 E "
"230","50"
"231","pd 50 "
"232","Nest 239 "
"233","4857"
"234","1/2 mile N of 5056 (pd 5258) "
"235","Nest 266"
"236","W of Bousierre "
"237","SW end pd 90 "
"238","pd 90"
"239","Bousierre's pd "
"240","""pd 6136"""
"241","pd W of Bousierre 6163?"
"242","Nest 468"
"243","pd 6136"
"244","pd 90 "
"245","6136"
"246","pd 90B"
"247","pd W of Bousierre's "
"248","pd 90 B "
"249","nest 662 SE of pd 92 "
"250","nest  "
"251","ESE Rene Labreque"
"252","5335"
"253","pd 1W "
"254","pd 6751"
"255","pd 6751 "
"256","6753"
"257","6751"
"258","pd 6753"
"259","7144"
"260","pd 6672"
"261","pd 7040"
"262","pd 6642"
"263","SE corner, kitty corner from skunk pen"
"264","6642"
"265","pd S of skunk pen"
"266","nest 296"
"267","pd 90b"
"268","7040"
"269","1st of pd SW of 7044"
"270","pd 7044"
"271","pd 8132"
"272","6742"
"273","pd 50"
"274","NE of pd 5056"
"275","pd 4857"
"276","pd 5338"
"277","same loc as 3.024, pd SW of Labreques"
"278","large pond along road SW Labreque's"
"279","nest 291"
"280","pd 4336"
"281","NW 4717"
"282","pd 25"
"283","nest 576 N of quanset"
"284","1st pd NE of pd 4717"
"285","N112"
"286","pd 26"
"287","1 pd SE of 4336"
"288","4717"
"289","2 pd S of Renevesreqe"
"290","5338"
"291","nest 432"
"292","pd 79 E"
"293","Nest 432"
"294","nest 231"
"295","1/4 mi W of Labreques"
"296","pd 66 "
"297","SW of Labreques"
"298","nest 506 N of pd 90"
"299","pd - "
"300","pd W of 6136"
"301","W of 6136, E of 5335"
"302","N393"
"303","Nest S pd 50"
"304","SW of National sign (South end)"
"305","Nest 131"
"306","nest 240"
"307","Large wetland SW of Nothern Bouissierre's residence (NE side N pf study area)"
"308","Lg pd SW of North Bouisierre's Res"
"309","Nest 395/96"
"310","1st pd W of 6662"
"311","Nest 285"
"312","Nest 302"
"313","SW of Lebreque's, same pd as 3.024"
"314","S of Arthur's House"
"315","SW of Lebreque's same as 3.024"
"316","Nest 308"
"317","pd west of Lebreques"
"318","Nest 274"
"319","SW of Lebreques, LOC same as freq, 3.024"
"320","Nest"
"321","SW of Lebreques"
"322","Same as freq, 3.024"
"323","Nest 252"
"324","pd 4634"
"325","pd 4332"
"326","1/8 mi N of farmhouse (S of Arthur's)"
"327","Nest 249"
"328","pd 70"
"329","N of Arthur's, SW of old house"
"330","pd SE of Arthur's"
"331","pd SE of Arthur's, E shore"
"332","Nest 354"
