,band_num,species,SPECIES,DATE,EVENT,COORDINATES,LOCATION DESCRIPTION,NOTES FOR INTEREST,
1,795-69001,Unknown,BWTE,6/2/1983,original banding,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
2,795-69019,Unknown,BWTE,7/12/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
3,795-69012,Unknown,BWTE,7/14/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
4,795-69013,Unknown,BWTE,7/15/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
5,795-69016,Unknown,BWTE,7/19/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
6,795-69017,Unknown,BWTE,7/20/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
7,795-69018,Unknown,BWTE,7/20/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
8,795-69020,Unknown,BWTE,7/20/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
9,795-69021,Unknown,BWTE,7/20/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
10,795-69026,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
11,795-69028,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
12,795-69032,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
13,795-69034,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
14,795-69038,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
15,795-69039,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
16,795-69040,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
17,795-69042,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
18,795-69044,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
19,795-69045,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
20,795-69046,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
21,795-69047,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
22,795-69048,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
23,795-69049,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
24,795-69050,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
25,795-69051,Unknown,BWTE,8/5/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
26,795-69053,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
27,795-69054,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
28,795-69055,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
29,795-69056,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
30,795-69057,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
31,795-69058,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",Shot in Iowa in 1985,
32,795-69059,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
33,795-69010,Unknown,BWTE,7/7/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
34,795-69060,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
35,795-69061,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
36,795-69062,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
37,795-69064,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
38,795-69066,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
39,795-69067,Unknown,BWTE,8/10/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
40,795-69069,Unknown,BWTE,8/25/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
41,795-69077,Unknown,BWTE,8/25/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
42,795-69079,Unknown,BWTE,8/25/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
43,795-69081,Unknown,BWTE,8/25/1983,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
44,795-69085,Unknown,BWTE,6/5/1984,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
45,795-69087,Unknown,BWTE,6/18/1984,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
46,795-69089,Unknown,BWTE,6/25/1984,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
47,795-69092,Unknown,BWTE,7/9/1984,orig bndg,52.08333 -106.08333,"11 S OF VONDA, Saskatchewan, Canada",,
48,795-74112,Unknown,,,,,,,
49,775-74117,Unknown,BWTE,6/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
50,775-74119,Unknown,BWTE,6/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
51,775-74120,Unknown,BWTE,6/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
52,775-74121,Unknown,BWTE,6/11/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
53,775-74122,Unknown,BWTE,6/11/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
54,775-74123,Unknown,BWTE,6/13/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
55,775-74124,Unknown,BWTE,6/13/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
56,775-74125,Unknown,BWTE,6/14/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
57,775-74126,Unknown,BWTE,6/14/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
58,775-74127,Unknown,BWTE,6/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
59,775-74128,Unknown,BWTE,6/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
60,775-74129,Unknown,BWTE,6/19/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
61,775-74130,Unknown,BWTE,6/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
62,775-74131,Unknown,BWTE,6/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
63,775-74132,Unknown,BWTE,6/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
64,775-74134,Unknown,BWTE,6/27/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
65,775-74136,Unknown,BWTE,7/3/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
66,775-74138,Unknown,BWTE,7/9/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
67,775-74144,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
68,775-74156,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
69,775-74158,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
70,775-74157,Unknown,BWTE,7/15/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
71,775-74166,Unknown,BWTE,7/16/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
72,775-74176,Unknown,BWTE,7/22/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
73,775-74177,Unknown,BWTE,7/22/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
74,775-74190,Unknown,BWTE,7/23/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
75,775-74309,Unknown,BWTE,7/24/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
76,775-74321,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
77,775-74323,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
78,775-74325,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
79,775- 74327,Unknown,BWTE,7/25/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
80,775-74327,Unknown,,see above,,,,,
81,775-74348,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
82,775-74350,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
83,775-75353,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
84,775-74355,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
85,775-74356,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
86,775-74358,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
87,775-74362,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",Shot in Minnesota Oct 1986,
88,775-74369,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
89,775-74370,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
90,775-74379,Unknown,BWTE,7/30/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
91,775-74383,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
92,775-74386,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
93,775-74388,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
94,775-74390,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
95,775-74391,Unknown,BWTE,8/1/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
96,775-74399,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
97,775-74201,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
98,775-74400,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
99,775-74202,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
100,775-74206,Unknown,BWTE,8/6/1985,orig bndg,52.25 -106.08333,"Nr Vonda, Saskatchewan, Canada",,
