band_num,date_resighted,location,observer,status,comments,Other notes: there are sometimes handwritten notes such as the one in this binder before page 49
1237-28506,1982-06-01,p125,NA,with mate ,"Ignored data: when first banded, mark, capture method, species, capture location",
1237-28506,1982-06-03,p25,NA,with mate ,NA,
1237-28506,1982-06-25,p1,NA,with mate ,NA,
1237-28506,1983-05-03,p19,EJW,with mate ,NA,
1237-28506,1983-05-09,"stubble field #50, #60",NA,with mate ,NA,
1237-28506,1983-05-24,p19,EJW,with mate ,NA,
1237-28514,1982-06-04,p1,NA,with mate ,NA,
1237-28514,1983-04-29,p20,EJW,with mate ,NA,
1237-28514,1983-05-05,n11,ROB,flushed 10 eggs,NA,
1237-28514,1983-05-24,p26A,ROB,with mate ,Pond #26A,
1237-28515,1982-06-01,p125,NA,with mate ,NA,
1237-28515,1982-06-15,p50,NA,with mate ,NA,
1237-28515,1982-06-16,p90,NA,with mate ,NA,
1237-28515,1982-06-22,p125,NA,?,there was a literal question mark ,
1237-28515,1983-05-06,R.O.W near #67,NA,NA,"""Nest #1- nest attempt unsuccessful""",
1237-28515,1983-05-15,p90,ROB,with mate,NA,
1237-28515,1983-05-20,n1 ,JMS,with mate,NA,
1237-28515,1983-05-30,p27,EJW,with mate,NA,
1237-28515,1983-06-01,p26A,EJW,with mate,NA,
1237-28515,1983-07-?,N.E of pond #26 retrapped in nest trap,NA,this bird is an adult,"""Nest #77 (7 egg clutch) retrapped- nest attempt unsuccessful"", day missing from hole punch",
1237-28515,1983-10-12,#1,MRM,feeding with large group,"Does not specify if pond or nest, I would assume pond",
1237-28515,1983-10-18,#1,MRM,feeding with 5 females and 2 males,"""bird removed weed that was caught on nasal tag""",
1237-28515,1984-05-31,#27,JTJ,with male,NA,
1237-28515,1984-05-18,#27,JMS,with male,"""only left side visible and seen as either a blue disc or square-not a positive identification""",
1237-28515,1984-06-11,#27,MRM,with male,NA,
1237-28515,1984-06-13,stubble field S of house,"JEG,JJJ",with male,NA,
1237-28515,1984-06-14,#27,JEG,with male,"""male has wide white neck band""",
1237-28515,1986-09-10,p67,RGC,with 3 males,"""100% identification""",
1237-28515,1986-09-19,p67,RGC,with 1 female (NT) and 22 males,,
1237-28515,1987-05-?,n9,RGC,NA,"""hatched, young web-tagged, 6 years old"", day not given",
1237-28515,1988-04-14,"p24,p27",RGC,paired,"""male not banded""",
1237-28515,1988-04-18,p26,RGC,with male,NA,
1237-28515,1988-04-21,p26,RGC,with male,NA,
1237-28515,1988-05-06,p26,RGC,alone,"""likely on recess""",
1237-28515,1988-05-11,p25,RGC via MG,NA,NA,
1237-28515,1988-05-11,p25,MG,paired,NA,
1237-28515,1988-05-13,p26 N,RGC,NA,NA,
1237-28515,1988-05-25,p26 N,MG,paired,"""caught by Joey""",
