band_num,date_resighted,location,observer,status,comments,Brood instead of Resightings
1447-40124,19-05-1993,n015,RGC,3_eggs,N/A,Resightings
1447-40124,22-05-1993,n015,RGC,5_eggs,N/A,Resightings
1447-40124,24-05-1993,n015,RGC,7_eggs,N/A,Resightings
1447-40124,25-05-1993,n015,RGC,8_eggs,N/A,Resightings
1447-40124,28-05-1993,n015,RGC,10_eggs,N/A,Resightings
1447-40124,29-05-1993,n015,RGC,10_eggs,N/A,Resightings
1447-40124,1-07-1993,n015,RGC,10_eggs,N/A,Resightings
1447-40124,9-07-1993,n015,RGC,10_eggs,N/A,Resightings
1447-40124,18-07-1993,n015,RGC,10_eggs,N/A,Resightings
1447-40124,23-07-1993,n015,RGC,"""hatched+gone""","""one egg left""",Resightings
1447-40124,8-08-1994,p140,ED,"""on nest""",implanted/Re nasal tagged,Resightings
1447-40124,23-04-1995,1/4 mi S of Nwa,SWL,PR,N/A,Resightings
1447-40124,07-07-1995,SE Pd1,STR,PR,@1650,Resightings
1447-40124,09-07-1994,"E of Pd1, W of Pd140",N/A,N/A,@1927,Brood
1447-40124,10-07-1994,"E of Pd1, W of Pd140",N/A,N/A,@1204,Brood
1447-40124,11-07-1994,??,N/A,N/A,@1630,Brood
1447-40124,13-07-1994,West of Pd40,N/A,N/A,@0315,Brood
1447-40124,25-07-1994,1/2 mi. SE of Main Road,N/A,N/A,@1220,Brood
1447-40124,26-07-1994,Awol SL,N/A,N/A,N/A,Brood
1447-40124,28-07-1994,S of 5338 SL,N/A,N/A,@1420,Brood
1447-40124,29-07-1994,S of 5338 SL ON E side of Pd SL,N/A,N/A,@1720,Brood
1447-40124,31-07-1994,Awol,N/A,N/A,@1520,Brood
1447-40124,01-08-1994,Awol,N/A,N/A,@1100,Brood
1447-40124,03-08-1994,NE of Labreques (S of 5338) SL,N/A,N/A,@1110,Brood
1447-40124,04-08-1994,S of 5338 SL,N/A,N/A,@1810,Brood
1447-40124,06-08-1994,??,N/A,N/A,N/A,Brood
1447-40124,07-08-1994,"S of 5335 JF, MD",N/A,N/A,@1032,Brood
1447-40124,09-08-1994,Near 2940 freq SL,N/A,N/A,@1331,Brood
1447-40124,09-08-1994,Same pond as 2940 SL,N/A,N/A,@1640,Brood
1447-40124,12-08-1994,Same pond as 2940 SL,N/A,N/A,@1606,Brood
1447-40124,13-08-1994,Same pond as 2940 SL,N/A,N/A,N/A,Brood
1447-40124,15-08-1994,Same pond as 2940 SL,N/A,N/A,@1543,Brood
1447-40124,16-08-1994,NE of Lebreques  Acting Broody SL,N/A,N/A,@1225,Brood
1447-40124,18-08-1994,NE of Lebreques  Acting Broody SL,N/A,N/A,@1350,Brood
1447-40124,23-08-1994,NE of Lebreques  Acting Broody SL,N/A,N/A,N/A,Brood
1447-40124,16-08-1994,NE of Lebreques  Acting Broody SL,N/A,N/A,@1225,Brood
1447-40124,25-08-1994,NE of Lebreques  Acting Broody SL,N/A,N/A,@0913,Brood
1467-52310,9-08-1996,n460,VL/SWL,7 eggs,N/A,Resightings
1467-52310,16-08-1996,N/A,N/A,5 eggs,hatched,Resightings
1467-52310,20-09-1996,P2943,RGC,w526,@1440,Resightings
1467-52311,09-04-1993,p1,RGC,Paired,N/A,Resightings
1467-52311,17-04-1993,P4857,MLG,Paired,N/A,Resightings
1467-52311,02-04-1993,N/A,KDW,Paired,N/A,Resightings
1467-52311,28-06-1993,N078,RGC,on nest,9 eggs,Resightings
1467-52311,12-07-1993,N078,RGC,on nest,5_eggs,Resightings
1467-52311,16-07-1993,N078,RGC,hatched+gone,N/A,Resightings
1467-52311,25-05-1994,N9,RGC,hatched,"""had lost tags-refitted""",Resightings
1467-52311,31-05-1994,P1,JF,Paired,N/A,Resightings
1467-52311,21-07-1994,P90,VL/SWL,1 other mall,"""@1233""",Resightings
1467-52311,26-05-1994,Pd140 - orange? green?,N/A,N/A,@1741,Brood
1467-52311,26-05-1994,Pd140 ,SWL,N/A,@1640,Brood
1467-52311,28-05-1994,AWAL,N/A,N/A,N/A,Brood
1467-52311,29-05-1994,N of Yard? Negative Pd1,N/A,N/A,@1100,Brood
1467-52311,31-05-1994,Pd1 NE,N/A,Paired,@1617,Brood
1467-52311,01-06-1994,SE end Pd1,N/A,Paired,@1159,Brood
1467-52311,02-06-1994,Pd1 NE,N/A,Paired,@1030,Brood
1467-52311,03-06-1994,Pd1 NE,N/A,Paired,@850,Brood
1467-52311,05-06-1994,Island,N/A,N/A,@1006,Brood
1467-52311,06-06-1994,N of NWA,N/A,N/A,1500-1730,Brood
1467-52311,07-06-1994,Pd1,SWL,N/A,Afternoon,Brood
1467-52311,08-06-1994,Pd1,N/A,N/A,@1430,Brood
1467-52311,09-06-1994,Island Pd1,SWL,N/A,morning,Brood
1467-52311,14-06-1994,CE of Island,SWL,N/A,@1100,Brood
1467-52311,14-06-1994,S end Island near fence,RGC,Paired,@1545,Brood
1467-52311,16-06-1994,Pd1 on Island,N/A,N/A,@1750,Brood
1467-52311,17-06-1994,Pd1 on Island,N/A,N/A,morning,Brood
1467-52311,18-06-1994,S end Island,"JF, LH?",N/A,@1810,Brood
1467-52311,19-06-1994,N end Pd1,"JF, LH, MC?",N/A,@1100,Brood
1467-52311,24-06-1994,NE end Pd1,LH?,N/A,@1040,Brood
1467-52311,27-06-1994,NE end Pd1,SL?,N/A,@920,Brood
1467-52311,30-06-1994,Pd N of quanset,MC?,N/A,@1707,Brood
1467-52311,01-07-1994,Pd N of fence N of 1st insect trap,MC?,N/A,@1350,Brood
1467-52311,02-07-1994,Pd N of quanset along road,MC?,N/A,@1342,Brood
1467-52311,03-07-1994,NW side Pd1,MC?,N/A,@1045,Brood
1467-52311,04-07-1994,Pd N of Quanset,JF?,N/A,@1700,Brood
1467-52311,07-07-1994,Pd1 Island,VL,N/A,@1555,Brood
1467-52311,09-07-1994,Pd5056,SL?,N/A,@1741,Brood
1467-52311,10-07-1994,Pd1,SL?,N/A,@1202,Brood
1467-52311,11-07-1994,N end Pd1,MD,Paired,@1658,Brood
1467-52311,13-07-1994,N end Pd1,"TD,MD",N/A,@1256,Brood
1467-52311,17-07-1994,NW share of island,"MC, VL",N/A,@1350,Brood
1467-52311,15-07-1994,NW end Pd1,SWL,N/A,@845,Brood
1467-52311,17-07-1994,Possibly on island,RGC,N/A,@1530,Brood
1467-52311,19-07-1994,NW end island,SL?,visual,@830,Brood
1467-52311,22-07-1994,on nest,N/A,N/A,@1120,Brood
1467-52311,23-07-1994,on NW corner of island,SWL,N/A,@1050,Brood
1467-52311,24-07-1994,NW corner of island,"JF, VL",N/A,@1316,Brood
1467-52311,25-07-1994,NW corner of island,SWL,N/A,@1342,Brood
1467-52311,26-07-1994,NW corner of island,SWL,N/A,@0950,Brood
1467-52311,28-07-1994,Pd90 N end at bait traps,N/A,N/A,=~@1030,Brood
