 ,,,,date_resighted,location,observer,status,comments
596-68118,,,,NA,NA,NA,NA,NA
596-68119,,,,NA,NA,NA,NA,NA
596-68120,,,,NA,NA,NA,NA,NA
596-68121,,,,1990-07-08,nS22,NA,incubating ,NA
596-68112,,,,1990-07-08,nS21,NA,NA,NA
596-68112,,,,1991-07-05,n20,NA,NA,"""found dead 1991 on SE side PD 1"""
596-68123,,,,1989-07-19,E ISLAND PD1,NA,NA,
596-68123,,,,1991-07-28,NW66,NA,NA," ""nest 29 1991"""
596-68124,,,,1990-07-08,nS01,NA,NA,NA
596-68133,,,,1990-07-90,nS16,NA,NA,NA
596-68133,,,,1991-07-25,E PD 1 ,NA,NA,"""Nest-S-19"" "
596-68133,,,,1991-08-09,PD 1,NA,NA,
596-68172,,,,NA,NA,NA,NA,NA
596-68173,,,,1990-07-08,nS7,NA,NA,Year was missing from resighting date. We are going off of banding year.
596-68173,,,,1990-08-09,PD 1,NA,NA,Year was missing from resighting date. We are going off of banding year.; 
596-68182,,,,1990-07-25,SCAUP 12,NA,NA,We don't know location code meaning
596-68184,,,,1991-07-06,n23,NA,NA,NA
596-68184,,,,1994-07-27,NEPD1,"RGC/MD, SWL, VL",nest,"""nest 181"""
596-68184,,,,1995-05-09,Pd 67,SWL/KLH/LQA,PR,"""@1431"""
596-68184,,,,1995-05-11,Pd 67,STR/RW,PR,"""0920"""
596-68184,,,,1995-05-25,Pd 5338,SWL,PR,"""@1445"", ""> 6 years"""
596-68184,,,,1995-05-26,Pd 1 ,"SWL, RZ",PR,"""by beaver house"", ""@0906"""
596-68184,,,,1995-06-03,Pd 1,"RZ, SWL",PR,"""@0900"""
596-68184,,,,1995-06-05,Pd 1,"RZ, SWL",PR,"""@0900"""
596-68184,,,,1995-06-07,Pd 5338,SWL,PR,"""@1630"""
596-68184,,,,1995-06-07,Pd 79E,SWL,PR,"""@1526"""
596-68184,,,,1995-06-08,Pd 5338,GC,PR,"""@1815"""
596-68184,,,,1995-06-09,Pd 15,RGC,PR,"""@1130"""
596-68184,,,,1995-06-13,Pd 5338,SWL,PR,"""@1153"""
596-68184,,,,1996-05-15,Pd S of Pd,AJF,PR,"""@1800""; ""#5338"""
596-68184,,,,1996-07-11,Pd 1,SDR,PR,"""@1710"""
596-68184,,,,1998-05-11,Pd 97,SWL,PR,"""@1243"""
596-68184,,,,1998-05-12,Pd 125N,EMS,PR,"""@0930"""
596-68184,,,,1988-06-09,Pd 1,SWL,PR,"""@1148"""
596-68185,,,,1992-07-07,n15,NA,NA,"""D61 tagged see Nest S-8/92""; nest ""abandoned"""
596-68185,,,,1993-05-13,Pd1E,RGC,paired,NA
596-68185,,,,1993-05-19,Pd1E,RGC,paired,NA
596-68185,,,,1994-05-16,Pd5338,UNK,paired,NA
596-68185,,,,1994-06-03,Pd1,SWL,PR,"""@0900"""
596-68185,,,,1994-06-21,NWPd1,SWL/MC,PR,"""@1840"""
596-68185,,,,1994-06-27,NA,SWL/UL,PR,"""@1208 sitting on the muskrat house""; location: ""1 Section (mile) N of Study area, W side of road"""
596-68190,,,,NA,NA,NA,NA,NA
596-68191,,,,NA,NA,NA,NA,NA
596-68192,,,,1992-07-03,n17,NA,NA,NA
596-68192,,,,1993-04-15,NA,RGC,paired,"location: ""West of Bussiers""; ""(S of 90B)"""
