band_num,date_resighted,location,observer,status,comments,
NA,NA,NA,NA,NA,webtag:A0923,
NA,1987-05-16,p1,REC,paired,webtag:A0924,
NA,NA,NA,NA,NA,webtag:A0928,
NA,1989-04-27,p1 W,MG,paired,webtag:A0929,
876-04949,1987-01-01,near sabine pass texas,NA,NA,"""shot by hunter""",
876-04950,1986-07-15,p66,GWB,NA,NA,
876-04950,1986-07-15,p1250,GWB,NA,"""large flock of gadwalls (~30) on pond 125""",
876-04950,1988-05-05,p65,GWB,paired,NA,
876-04950,1989-07-20,p4857,GCG,alone,NA,
876-04951,1986-07-15,p65,GWB,with 12 yq.(ib's),NA,
876-04951,1986-07-22,p65,RGC,with 6 Ic's ,NA,
876-04951,1986-08-20,p65,RGC,NA,"""alone, but calling, acting ""broody""""",
876-04951,1986-08-21,p65,RGC,paired,NA,
876-04951,1987-04-20,p1 W,RGC,paired,NA,
876-04951,1987-04-23,p67,"RGC,GWB",paired,NA,
876-04951,1987-05-15,p15,RGC,paired,NA,
876-04951,1987-07-13,p50,RGC,w 2 female (nt),NA,
876-04951,1987-07-07,p50,AMW,alone,NA,
876-04951,1987-07-14,p1 E,RGC,alone,NA,
876-04951,1988-05-05,NE of hose,"DJS,RGC",paired,"""first permanent wetland, northeast corner of west block""",
876-04951,1988-05-11,NW of house,RGC,paired,NA,
876-04951,1988-06-01,p1 (disco),RGC,NA,NA,
876-04951,1988-06-22,pd20,RGC,NA,"""yellow CB""",
876-04951,1988-06-27,most h 74,RGC,NA,"""hatched H74""",
876-04951,1988-06-28,NE of pd 20,MG,NA,"""recap by MG by head ME of pd20 56og 265 mm""",
876-04951,1988-06-30,p20,RGC,NA,NA,
876-04951,1989-04-25,p79 E,RGC,paired,NA,
876-04951,1989-04-26,p26,RGC,paired,NA,
876-04951,1989-04-27,p1 E,MG,paired,NA,
876-04951,1989-04-27,p65,RGC,paired,NA,
876-04951,1989-05-03,p65,KDW,NA,NA,
876-04951,1989-05-04,p65,KDW,paired,NA,
876-04951,1989-05-04,p26,KDW,paired,NA,
876-04951,1989-05-05,p20,RGC,paired,NA,
876-04951,1989-05-08,p69,RDD,paired,NA,
876-04951,1989-05-09,p20,CJF,paired,NA,
876-04951,1989-05-16,p20,RDD,paired,NA,
876-04951,1989-05-20,p20,RGC,paired,NA,
876-04951,1989-05-22,p20,RGC,paired,NA,
876-04951,1989-05-23,p20,CJF,paired,NA,
876-04951,1989-05-25,p20,RGC,paired,"""yellow CB""",
876-04951,1989-06-07,p20,RGC,paired,NA,
876-04951,1989-07-06,p4857,RGC,NA,NA,
876-04951,1989-07-12,p20,RDD,w 7 Ia's,NA,
876-04951,1989-07-13,p25,RGC,alone,NA,
876-04951,1989-07-17,p20,KDW,w 8 Ia's,NA,
876-04951,1989-07-18,p20,CFJ,w 3 Ia's,NA,
876-04951,1989-07-19,p20,RGC,w 8 Ia's,NA,
876-04951,1989-07-20,p20,CFJ,w 8 Ia's,NA,
876-04951,1989-07-21,p20,RGC,w 8 Ia's,NA,
876-04951,1989-07-24,p20,RDD,w 8 Ia's,NA,
876-04951,1989-07-26,p20,KDW,w 11 Ia's,NA,
876-04951,1989-07-28,p20,KDW,w 8 Ia's,NA,
876-04951,1989-07-31,p20,CFJ,w 8 Ia's,NA,
876-04951,1989-08-07,p20,KDW,w 8 Ia's,NA,
876-04951,1989-08-10,p20,CJF,w 7 Ia's,NA,
876-04951,1989-08-16,p20,RDD,w 7 Ia's,NA,
876-04951,1989-08-17,p20,RDD,w 7 Ia's,NA,
876-04952,1986-07-09,p1 W,RGC,with 16 females and 5 male gadwalls,NA,
876-04952,1986-05-22,p65,RGC,NA,NA,
876-04952,1987-05-22,p65,RGC,paired,NA,
876-04952,1987-05-19,p65 S,AMW,paired,NA,
876-04952,1987-05-23,p65 S,RGC,paired,NA,
876-04952,1987-05-21,p65 S,RGC,paired,NA,
876-04952,1987-06-15,n73(successful),RGC,nesting,was bundled together,
876-04952,1987-06-17,n73(successful),RGC,nesting,was bundled together,
876-04952,1987-06-20,n73(successful),RGC,nesting,was bundled together,
876-04952,1987-06-15,p65 N,AMW,alone,NA,
876-04952,1987-06-23,p65 ,RGC,w 2 Ia`s,NA,
876-04952,1987-06-29,p65 N,RGC,w 2 Ib`s,NA,
876-04952,1987-07-05,p65 N,RGC,w 2 Ib`s,NA,
876-04952,1987-07-09,p65 ,RGC,w 2 Ib`s,NA,
876-04952,1987-07-13,p65 ,RGC,w 2 Ia`s,NA,
876-04952,1987-07-07,p65 S,RGC,w 2 Ib`s,NA,
876-04952,1987-07-14,p65 ,GWB,alone,NA,
876-04952,1988-05-11,p65 S,RGC_via_MG,paired,NA,
876-04952,1988-05-11,p65 S,MG,paired,NA,
876-04952,1988-05-12,p65 S,RGC,NA,"""counted""",
876-04952,1988-05-23,p65 S,RGC,paired,NA,
876-04952,1992-05-12,p1 E,RDD,paired,NA,
876-04952,1992-05-11,p1 E,RDD,paired,NA,
876-04967,1986-06-26,NA,NA,NA,"""natal nest was #156 (1986) where female was web-tagged (AO380) on 26 june 1986""",
876-04967,1987-07-01,n131,RGC,nest hatched,"""6 ducklings web-tagged (cws 1511 to cws 1516 inclusive)""",
876-04967,1987-07-02,S fence of W block SE 56,RGC,w 6 class Ia's,"""through fence; crossing to south side of road""",
876-04970,1988-06-14,NA,"ADW,DJS",NA,"""bird scared by Bob on purpose""",
876-04970,1988-06-23,n33,RGC,NA,"""hatched""",
876-04970,1988-06-23,p26,MG,NA,"""w 9 Ia's""",
876-04970,1988-06-25,p26,RGC,NA,"""w 9 Ia's""",
876-04970,1988-06-27,p26,RGC,NA,"""w 9 Ia's""",
876-04970,1988-06-28,p26,RGC,NA,"""w 9 Ia's""",
876-04970,1988-06-29,p26,MG,NA,"""w 9 Ib's""",
876-04970,1988-07-04,p50,RGC,NA,"""w 9 Ib's""",
876-04970,1988-07-04,p26,MG,NA,"""w 9 Ic's""",
876-04970,1988-07-04,p25,RGC,NA,"""w 9"" there was no letter after the nine",
876-04970,1988-07-11,p25,NA,NA,"""censas w 9 Ic""",
876-04970,1988-07-18,p25,RGC,NA,"""w 92 a's""",
876-04970,1988-07-21,p25,KDW,NA,"""w 5 Ic""",
876-04970,1988-07-28,p25,KDW,NA,"""W 10 IIc's",
876-04970,1988-08-04,p25,KDW,NA,"""W 9 IIc's",
876-04970,1989-04-25,p79 E,RGC,paired,NA,
876-04970,1989-04-27,p26,RGC,paired,NA,
876-04970,1989-05-05,p25,RGC,paired,NA,
876-04970,1989-05-08,p90 B,RDD,NA,NA,
876-04970,1989-05-26,p50,RGC,paired,NA,
