band_num,date_resighted,location,observer,status,comments
795-69001,1986-07-02,p67,GCG,alone,NA
795-69019,1983-09-10,p1,NA,loosely grouped with other buteal,NA
795-69012,NA,NA,NA,NA,NA
795-69013,NA,NA,NA,NA,NA
795-69016,1983-09-27,p1,NA,NA,NA
795-69017,1983-09-07,p50,NA,NA,NA
795-69017,1988-05-09,p1E,RGC via MG,paired,NA
795-69018,1983-07-25,p26,JMS EJW,with 8 yng (Ib),NA
795-69020,NA,NA,NA,NA,NA
795-69021,1983-08-01,p26,JEG,with 6 yng (Ib),NA
795-69021,1983-08-02,p26,NA,with 8 yng (Ib),NA
795-69026,NA,NA,NA,NA,NA
795-69028,1983-08-08,p50,NA,NA,NA
795-69032,NA,NA,NA,NA,NA
795-69034,1983-08-08,p50,NA,NA,NA
795-69034,1983-08-29,p50,NA,NA,NA
795-69034,1983-08-31,p50,NA,NA,"""caught in bait traps"""
795-69038,NA,NA,NA,NA,NA
795-69039,NA,NA,NA,NA,NA
795-69040,NA,NA,NA,NA,NA
795-69042,1983-08-29,p20,NA,NA,NA
795-69044,NA,NA,NA,NA,NA
795-69045,NA,NA,NA,NA,NA
795-69046,NA,NA,NA,NA,NA
795-69047,NA,NA,NA,NA,NA
795-69048,NA,NA,NA,NA,NA
795-69049,NA,NA,NA,NA,NA
795-69050,1983-08-26,p26,NA,NA,NA
795-69051,NA,NA,NA,NA,NA
795-69053,NA,NA,NA,NA,NA
795-69054,NA,NA,NA,NA,NA
795-69055,1983-08-29,p20,NA,NA,NA
795-69056,NA,NA,NA,NA,NA
795-69057,1983-09-07,p65,NA,NA,NA
795-69058,1983-09-07,p50,NA,NA,NA
795-69058,NA,NA,NA,NA,"""shot 21 sept '85, lizard lake, iowa"""
795-69059,1983-08-25,p20,NA,NA,"""caught in drive(?) trap"""
795-69059,1983-09-07,p65,NA,NA,NA
795-69010,1983-08-10,p20,NA,moulting,"""caught in drive(?) trap"""
795-69010,1983-08-25,p20,NA,NA,"""caught in drive(?) trap"""
795-69010,1983-08-29,p20,NA,NA,NA
795-69010,1984-05-22,p1,MRM,with 2 m,NA
795-69010,1984-05-18,p20,MRM,with 1 m,NA
795-69010,1984-05-25,p20,JMS,with 1 m,NA
795-69010,1984-05-28,p20,MRM,with 1 m,NA
795-69060,1983-08-22,p20,NA,NA,NA
795-69060,1983-08-25,p20,NA,NA,"""caught in drive(?) trap"""
795-69060,1983-08-29,p20,NA,NA,NA
795-69061,1983-09-27,p1,NA,NA,NA
795-69062,1983-08-29,p20,NA,NA,NA
795-69064,1983-08-25,p20,NA,NA,"""caught in drive trap"""
795-69066,NA,NA,NA,NA,NA
795-69067,NA,NA,NA,NA,NA
795-69069,1983-09-07,p66,NA,NA,NA
795-69077,NA,NA,NA,NA,NA
795-69079,1983-08-26,p26,NA,NA,NA
795-69081,1983-08-26,p26,NA,NA,NA
795-69085,1985-09-12,p50,RGC,NA,"""probable sighting on 12 Sept. '85 on pond #50 by RGC. Only other possibility is (blue tri blue tri, 5 August 1983) which was captured on pond #50 in '83 as Class III."""
795-69087,1984-06-26,p125,MRM JEG,with 1 m,NA
795-69087,1985-08-22,p60,"TGJ, JBI",NA,NA
795-69089,NA,NA,NA,NA,NA
795-69092,NA,NA,NA,NA,NA
795-74112,NA,NA,NA,NA,NA
775-74117,NA,NA,NA,NA,NA
775-74119,1985-07-25,p cd. 3635,JMS,with 8 yng (III),NA
775-74120,NA,NA,NA,NA,NA
775-74121,NA,NA,NA,NA,NA
