band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
1107-16461,MALL,25,Br oval,wt oval,NA,NA,NA,172.29,NA,1996-05-31,<2 hrs,i,p,NA,NA,
1107-16341,MALL,46B,yell square,org square,NA,NA,y,2.66,NA,1996-06-11,NA,i,p,NA,NA,handling time is fade to read
896-75286,GADW,296,org triangle,wht circle,1996-07-06,NA,NA,2.76,9,1996-07-02,50,m,p,NA,9,handling time and dose is fade to read
1467-52361,MALL,240,Br circle,Br circle,1996-06-30,NA,n,2.131,9,1996-06-25,NA,m,p,NA,7,handling time and dose is fade to read
1107-16327,MALL,36,Lt Bl triangle,Ory,1996-06-09,NA,NA,2590,6,NA,NA,NA,NA,NA,NA,"""see page"" is written in tapping info"
1107-16481,MALL,205,1996-06-27,green circle,blue triangle,NA,Island,2.18,7,1996-06-21,NA,i,p,NA,7,
1107-16389,MALL,22,pink Y,g triangle,1996-06-02,NA,n,2397,5,NA,NA,NA,NA,NA,5,"""see page"" is written in tapping info"
896-75208,GADW,241,yell circle,org circle,1996-07-04,NA,y,2.522,10,1996-07-01,50,m,p,0.7,10,units of dose in not clear and location mntioned is SW 139
896-75356,GADW,192,purp triangle,org triangle,1996-06-30,NA,y,2.503,9,1996-06-27,NA,m,p,NA,9,NA
686-13937,GADW,354,purp triangle,wht Y,NA,NA,y,3.043,NA,1996-07-09,NA,m,p,NA,NA,under fenced July 10 is written
896-75364,GADW,372,pink triangle,yell circle,NA,NA,y,3.132,NA,1996-07-03,85,m,p,0.9,NA,NW of pd29 written
1107-16458,MALL,151,purp Y,green Y,1996-07-08,NA,y,172.154,7,1996-07-03,NA,m,NA,NA,7,W side pd20w writte 
896-75105,GADW,194,org circle,org square,1996-07-07,NA,y,2.982,9,1996-07-02,65,m,p,0.75,3,number leaving was rvised and NW of pd20
896-75359,GADW,193,yell circle,white square,1996-07-03,NA,n,2.683,11,1996-06-29,90,m,p, 0.7 in >90 sec,11,N pd20
896-75362,GADW,264,yell square,purp triangle,1996-07-04,NA,y,3.063,8,1996-07-03,90,m,p,NA,8,S of 26
896-75167,GADW,363,yell triangle,wt square,NA,NA,y,2.484,NA,1996-07-04,65,m,p,0.75,NA,N of 69
896-75361,GADW,178,wht circle,brn circle,1996-07-04,NA,y,3.154,9,1996-07-02,65,m,p,NA,9,NA
1107-16484,MALL,169,gr oval,yell oval,1996-07-01,NA,n,2.243,9,1996-06-29,110,m,p,0.7 in 130 sec,9,NA
1467-52336,MALL,127,lt bl circle,gr Y,1996-07-04,NA,NA,3.28,4,1996-07-01,NA,i,p,NA,NA,pd50
896-75295,GADW,131,pk triangle,pk circle,1996-7-3,NA,y,2.581,11,1996-06-27,60,m,p,0.7 in 90 sec,11,SE pd50
1107-16489,MALL,181,wht square,green square,NA,NA,y,2.313,NA,1996-07-06,NA,m,NA,NA,NA,S of 67
686-13935,GADW,117,br triangle ,wt square,1996-07-01,NA,y,2.37,12,1996-06-26,75,m,p,0.7,12,NA
896-75363,GADW,331,purp triangle,wt circle,1996-07-04,NA,n,2.421,10,1996-07-03,90,m,p,0.7,NA,S of 67
NA,MALL,NA,lt bl trinagle,pink Y,NA,NA,NA,2.218,NA,NA,NA,NA,NA,NA,NA,rosy is written on top
1107-16408,MALL,19,viol square,yell circle,1996-06-08,NA,NA,2.062,7,1996-06-04,NA,NA,NA,NA,7,NA
1107-16338,MALL,239,brown Y,brown circle,1996-06-23,NA,n,2.262,6,1996-06-18,97,m,NA,NA,6,NA
1467-52337,MALL,206,gr oval,yell Y,1996-07-08,NA,NA,3.21,8,1996-07-01,NA,i,p,NA,NA,island W side; brood may have been separated while--
1467-52339,MALL,405,brn Y,brn triangle,1996-07-08,NA,y,2.2,8,1996-07-03,NA,i,p,NA,NA,in maples naf trail at main gate
NA,MALL,NA,NA,NA,NA,NA,y,3.24,AN,NA,NA,NA,NA,NA,NA,
896-75365,GADW,281,wht Y,brn circle,NA,NA,n,2.703,10,1995-07-05,NA,NA,NA,NA,NA,radio re-used
1107-16487,MALL,374,lt bl triangle,wht triangle,NA,NA,y,2.78,NA,1996-07-05,95,i,p,3.2,NA,N pd90
NA,MALL,226,NA,NA,NA,NA,NA,3.047,NA,1996-07-08,NA,m,p,1.4,NA,N of 140
896-75367,GADW,392,purp triangle,org circle,NA,NA,y,2.703,NA,1996-06-08,NA,m,p,NA,NA,fenced after being trapped
1107-16462,MALL,21,br oval,lt bl oval,1996-06-07,NA,n,2.35,10,1996-06-03,NA,m,NA,NA,NA,July 1 7IIA writen below fence
896-75360,GADW,346,pink triangle,wht triangle,1996-07-07,NA,NA,2.803,10,1996-07-01,80,m,p,0.35,NA,20 m N of #20
